orig_id,source_feminine,translate_feminine,reference_feminine,source_masculine,translate_masculine,reference_masculine,source_feminine_annotated,reference_feminine_annotated,source_masculine_annotated,reference_masculine_annotated,source_feminine_keywords,reference_feminine_keywords,source_masculine_keywords,reference_masculine_keywords,scores_f_bleu,scores_m_bleu,f_quality_bins,m_quality_bins,decision_f,decision_m
0,"By having her characters uninhibitedly subvert all of England's long-standing customs and traditions, Barnes inadvertently also collects, registers and critically assesses these myths.",من خلال قيام شخصياتها بتخريب جميع العادات والتقاليد القديمة في إنجلترا دون عائق، تقوم بارنز أيضًا عن غير قصد بجمع هذه الأساطير وتسجيلها وتقييمها بشكل نقدي.,تقوم بارنز من خلال جعل شخصياتها تخرب دون رادع جميع عادات وتقاليد إنجلترا القديمة بجمع هذه الأساطير وتسجيلها وتقييمها بشكل نقدي عن غير قصد.,"By having his characters uninhibitedly subvert all of England's long-standing customs and traditions, Barnes inadvertently also collects, registers and critically assesses these myths.",من خلال قيام شخصياته بتخريب جميع العادات والتقاليد القديمة في إنجلترا دون عائق، يقوم بارنز أيضًا عن غير قصد بجمع هذه الأساطير وتسجيلها وتقييمها بشكل نقدي.,يقوم بارنز من خلال جعل شخصياته تخرب دون رادع جميع عادات وتقاليد إنجلترا القديمة بجمع هذه الأساطير وتسجيلها وتقييمها بشكل نقدي عن غير قصد.,"By having <F>her</F> characters uninhibitedly subvert all of England's long-standing customs and traditions, Barnes inadvertently also collects, registers and critically assesses these myths.",<F>تقوم</F> بارنز من خلال جعل <F>شخصياتها</F> تخرب دون رادع جميع عادات وتقاليد إنجلترا القديمة بجمع هذه الأساطير وتسجيلها وتقييمها بشكل نقدي عن غير قصد.,"By having <M>his</M> characters uninhibitedly subvert all of England's long-standing customs and traditions, Barnes inadvertently also collects, registers and critically assesses these myths.",<M>يقوم</M> بارنز من خلال جعل <M>شخصياته</M> تخرب دون رادع جميع عادات وتقاليد إنجلترا القديمة بجمع هذه الأساطير وتسجيلها وتقييمها بشكل نقدي عن غير قصد.,her,تقوم;شخصياتها,his,يقوم;شخصياته,32.67294026204631,32.67294026204631,Good,Good,Correct,Correct
1,In 1641 the ex-chancelloress was one of several Irish ladies and women living in England who petitioned Parliament against disseminators of false news from Ireland.,في عام 1641، كانت المستشارة السابقة واحدة من العديد من السيدات والنساء الأيرلنديات اللاتي يعشن في إنجلترا والذين قدموا التماسًا إلى البرلمان ضد ناشري الأخبار الكاذبة من أيرلندا.,في عام 1641، كانت المستشارة السابقة واحدة من عدة سيدات ونساء إيرلنديات يعيشن في انكلترا ممن قدمن التماساً للبرلمان ضد ناشري الأخبار الكاذبة من أيرلندا.,In 1641 the ex-chancellor was one of several Irish lords and gentlemen living in England who petitioned Parliament against disseminators of false news from Ireland.,في عام 1641، كان المستشار السابق واحدًا من العديد من اللوردات والسادة الأيرلنديين الذين يعيشون في إنجلترا والذين قدموا التماسًا إلى البرلمان ضد ناشري الأخبار الكاذبة من أيرلندا.,في عام 1641، كان المستشار السابق واحداً من عدة لوردات وسادة إيرلنديين يعيشون في انكلترا ممن قدموا التماساً للبرلمان ضد ناشري الأخبار الكاذبة من أيرلندا.,In 1641 the <F>ex-chancelloress</F> was one of several Irish <F>ladies</F> and <F>women</F> living in England who petitioned Parliament against disseminators of false news from Ireland.,في عام 1641، <F>كانت المستشارة السابقة واحدة</F> من عدة <F>سيدات</F> و<F>نساء إيرلنديات يعيشن</F> في انكلترا ممن <F>قدمن</F> التماساً للبرلمان ضد ناشري الأخبار الكاذبة من أيرلندا.,In 1641 the <M>ex-chancellor</M> was one of several Irish <M>lords</M> and <M>gentlemen</M> living in England who petitioned Parliament against disseminators of false news from Ireland.,في عام 1641، <M>كان المستشار السابق واحداً</M> من عدة <M>لوردات</M> و<M>سادة إيرلنديين يعيشون</M> في انكلترا ممن <M>قدموا</M> التماساً للبرلمان ضد ناشري الأخبار الكاذبة من أيرلندا.,ex-chancelloress;ladies;women,كانت المستشارة السابقة واحدة;سيدات;نساء إيرلنديات يعيشن;قدمن,ex-chancellor;lords;gentlemen,كان المستشار السابق واحداً;لوردات;سادة إيرلنديين يعيشون;قدموا,43.59647211990739,38.74979362583056,Very good,Good,Incorrect,Correct
2,Life adds that she has greater versatility than any actress on the American screen ...,وتضيف الحياة أنها تتمتع بتنوع أكبر من أي ممثلة على الشاشة الأمريكية..,تضيف لايف على أنها تتمتع بمرونة أكبر من أي ممثلة على الشاشة الأمريكية ...,Life adds that he has greater versatility than any actor on the American screen ...,وتضيف الحياة أنه يتمتع بتنوع أكبر من أي ممثل على الشاشة الأمريكية ...,يضيف لايف على أنه يتمتع بمرونة أكبر من أي ممثل على الشاشة الأمريكية ...,Life adds that <F>she</F> has greater versatility than any <F>actress</F> on the American screen ...,<F>تضيف</F> لايف على <F>أنها تتمتع</F> بمرونة أكبر من أي <F>ممثلة</F> على الشاشة الأمريكية ...,Life adds that <M>he</M> has greater versatility than any <M>actor</M> on the American screen ...,<M>يضيف</M> لايف على <M>أنه يتمتع</M> بمرونة أكبر من أي <M>ممثل</M> على الشاشة الأمريكية ...,she;actress,تضيف;أنها تتمتع;ممثلة,he;actor,يضيف;أنه يتمتع;ممثل,55.913634423613445,62.95835607918715,Excellent,Excellent,Correct,Correct
3,"Her mannerism was based on Nakoruru's Bust form, being a violent and haughty ego of hers.",كان سلوكها مبنيًا على شكل تمثال نصفي لناكورورو، كونها غرورًا عنيفًا ومتغطرسًا لها.,استند أسلوبها السلوكي إلى شكل تمثال ناكورورو، كونها الأنا العنيفة والمتغطرسة لها.,"His mannerism was based on Nakoruru's Bust form, being a violent and haughty ego of his.",كانت سلوكياته مبنية على شكل تمثال نصفي لناكورورو، كونه غرورًا عنيفًا ومتغطرسًا له.,استند أسلوبه السلوكي إلى شكل تمثال ناكورورو، كونه الأنا العنيفة والمتغطرسة له.,"<F>Her</F> mannerism was based on Nakoruru's Bust form, being a violent and haughty ego of <F>hers</F>.",استند <F>أسلوبها</F> السلوكي إلى شكل تمثال ناكورورو، <F>كونها</F> الأنا العنيفة والمتغطرسة <F>لها</F>.,"<M>His</M> mannerism was based on Nakoruru's Bust form, being a violent and haughty ego of <M>his</M>.",استند <M>أسلوبه</M> السلوكي إلى شكل تمثال ناكورورو، <M>كونه</M> الأنا العنيفة والمتغطرسة <M>له</M>.,Her;hers,أسلوبها;كونها;لها,His;his,أسلوبه;كونه;له,8.493098745313148,8.493098745313148,Useless,Useless,Correct,Correct
4,"From 1894 she attended the Presbyterian Ladies' College, Melbourne, but decided to leave school after 1896 and enrolled in an arts/law degree at the University of Melbourne in 1897, the first woman to enter the Faculty of Law, and indeed the first to enter any law school in Australia.",التحقت بالكلية المشيخية للسيدات في ملبورن منذ عام 1894، لكنها قررت ترك المدرسة بعد عام 1896 والتحقت بشهادة في الآداب/القانون في جامعة ملبورن في عام 1897، وكانت أول امرأة تدخل كلية الحقوق، وبالفعل أول من التحقت بكلية الحقوق. دخول أي كلية الحقوق في أستراليا.,من عام 1894 حضرت كلية السيدات المشيخية، ملبورن، لكنها قررت مغادرتها بعد عام 1896 والتسجل في شعبة الفنون / القانون في جامعة ملبورن في عام 1897، أول امرأة تدخل كلية الحقوق، وفي الواقع أول من دخل كلية حقوق في أستراليا.,"From 1894 he attended the Presbyterian Gentlemen's College, Melbourne, but decided to leave school after 1896 and enrolled in an arts/law degree at the University of Melbourne in 1897, the first man to enter the Faculty of Law, and indeed the first to enter any law school in Australia.",التحق بكلية السادة المشيخية في ملبورن منذ عام 1894، لكنه قرر ترك المدرسة بعد عام 1896 والتحق بشهادة الآداب/القانون في جامعة ملبورن في عام 1897، وكان أول رجل يدخل كلية الحقوق، وأول من دخلها بالفعل. أي كلية الحقوق في أستراليا.,من عام 1894 حضر كلية السادة المشيخية، ملبورن، لكنه قرر مغادرتها بعد عام 1896 والتسجل في شعبة الفنون / القانون في جامعة ملبورن في عام 1897، أول رجل يدخل كلية الحقوق، وفي الواقع أول من دخل كلية حقوق في أستراليا.,"From 1894 <F>she</F> attended the Presbyterian <F>Ladies'</F> College, Melbourne, but decided to leave school after 1896 and enrolled in an arts/law degree at the University of Melbourne in 1897, the first <F>woman</F> to enter the Faculty of Law, and indeed the first to enter any law school in Australia.",من عام 1894 <F>حضرت</F> كلية <F>السيدات</F> المشيخية، ملبورن، <F>لكنها قررت</F> مغادرتها بعد عام 1896 والتسجل في شعبة الفنون / القانون في جامعة ملبورن في عام 1897، أول <F>امرأة تدخل</F> كلية الحقوق، وفي الواقع أول من دخل كلية حقوق في أستراليا.,"From 1894 <M>he</M> attended the Presbyterian <M>Gentlemen's</M> College, Melbourne, but decided to leave school after 1896 and enrolled in an arts/law degree at the University of Melbourne in 1897, the first <M>man</M> to enter the Faculty of Law, and indeed the first to enter any law school in Australia.",من عام 1894 <M>حضر</M> كلية <M>السادة</M> المشيخية، ملبورن، <M>لكنه قرر</M> مغادرتها بعد عام 1896 والتسجل في شعبة الفنون / القانون في جامعة ملبورن في عام 1897، أول <M>رجل يدخل</M> كلية الحقوق، وفي الواقع أول من دخل كلية حقوق في أستراليا.,she;Ladies';woman,حضرت;السيدات;لكنها قررت;امرأة تدخل,he;Gentlemen's;man,حضر;السادة;لكنه قرر;رجل يدخل,29.21802715934956,31.48889669645256,Fair,Good,Correct,Correct
5,"Increased tax revenues were needed to support the self-serving policies of the queen's aunts, whose interests were frequently in conflict with those of the crown and with each other.",كانت هناك حاجة إلى زيادة عائدات الضرائب لدعم سياسات الخدمة الذاتية لعمات الملكة، اللاتي كانت مصالحهن في كثير من الأحيان تتعارض مع مصالح التاج ومع بعضهن البعض.,كانت هناك حاجة لزيادة عائدات الضرائب لدعم سياسات الخدمة الذاتية لعمات الملكة، واللواتي كانت مصالحهن في تعارض دائم مع مصالح التاج ومع بعضهن.,"Increased tax revenues were needed to support the self-serving policies of the king's uncles, whose interests were frequently in conflict with those of the crown and with each other.",كانت هناك حاجة إلى زيادة عائدات الضرائب لدعم سياسات الخدمة الذاتية لأعمام الملك، الذين كانت مصالحهم في كثير من الأحيان تتعارض مع مصالح التاج ومع بعضهم البعض.,كانت هناك حاجة لزيادة عائدات الضرائب لدعم سياسات الخدمة الذاتية لأعمام الملك، والذين كانت مصالحهم في تعارض دائم مع مصالح التاج ومع بعضهم.,"Increased tax revenues were needed to support the self-serving policies of the <F>queen's</F> <F>aunts</F>, whose interests were frequently in conflict with those of the crown and with each other.",كانت هناك حاجة لزيادة عائدات الضرائب لدعم سياسات الخدمة الذاتية ل<F>عمات الملكة</F>، و<F>اللواتي كانت مصالحهن</F> في تعارض دائم مع مصالح التاج ومع <F>بعضهن</F>.,"Increased tax revenues were needed to support the self-serving policies of the <M>king's</M> <M>uncles</M>, whose interests were frequently in conflict with those of the crown and with each other.",كانت هناك حاجة لزيادة عائدات الضرائب لدعم سياسات الخدمة الذاتية ل<M>أعمام الملك</M>، و<M>الذين كانت مصالحهم</M> في تعارض دائم مع مصالح التاج ومع <M>بعضهم</M>.,queen's;aunts,عمات الملكة;اللواتي كانت مصالحهن;بعضهن,king's;uncles,أعمام الملك;الذين كانت مصالحهم;بعضهم,46.56334880525639,46.56334880525639,Very good,Very good,Correct,Correct
6,Some stereotypical things that are expected of mothers are harder to provide in a low-income household when a mother is the main provider.,يصعب توفير بعض الأشياء النمطية المتوقعة من الأمهات في الأسرة ذات الدخل المنخفض عندما تكون الأم هي المعيل الرئيسي.,يصعب توفير بعض الأشياء البسيطة التي يُتوقع من الأمهات توفيرها في أسرة منخفضة الدخل عندما تكون الأم هي المعيلة الرئيسية.,Some stereotypical things that are expected of fathers are harder to provide in a low-income household when a father is the main provider.,يصعب توفير بعض الأشياء النمطية المتوقعة من الآباء في الأسرة ذات الدخل المنخفض عندما يكون الأب هو المعيل الرئيسي.,يصعب توفير بعض الأشياء البسيطة التي يُتوقع من الآباء توفيرها في أسرة منخفضة الدخل عندما يكون الأبُ هو المعيل الرئيسي.,Some stereotypical things that are expected of <F>mothers</F> are harder to provide in a low-income household when a <F>mother</F> is the main provider.,يصعب توفير بعض الأشياء البسيطة التي يُتوقع من <F>الأمهات</F> توفيرها في أسرة منخفضة الدخل عندما <F>تكون</F> <F>الأم هي</F> <F>المعيلة</F> <F>الرئيسية</F>.,Some stereotypical things that are expected of <M>fathers</M> are harder to provide in a low-income household when a <M>father</M> is the main provider.,يصعب توفير بعض الأشياء البسيطة التي يُتوقع من <M>الآباء</M> توفيرها في أسرة منخفضة الدخل عندما <M>يكون</M> <M>الأبُ هو</M> <M>المعيل</M> <M>الرئيسي</M>.,mothers;mother,الأمهات;تكون;الأم هي;المعيلة;الرئيسية,fathers;father,الآباء;يكون;الأبُ هو;المعيل;الرئيسي,26.757273940019942,28.18292225105065,Fair,Fair,Incorrect,Correct
7,"Later, she worked as Nagaram Agriculture Market Committee Chairwoman (AMC Chairwoman) twice apart from that served as Vice-President of Rice Millors Association in East Godavari District.",في وقت لاحق، عملت كرئيسة لجنة سوق الزراعة في Nagaram (رئيسة AMC) مرتين باستثناء أنها شغلت منصب نائب رئيس جمعية مطاحن الأرز في منطقة شرق جودافاري.,في وقت لاحق، عمِلت كرئيسة لجنة سوق الزراعة في ناجارام (رئيسة AMC) مرتين، كما شغِلت أيضا منصب نائبة رئيس جمعية مطاحن الأرز في منطقة شرق جودافاري.,"Later, he worked as Nagaram Agriculture Market Committee Chairman (AMC Chairman) twice apart from that served as Vice-President of Rice Millors Association in East Godavari District.",في وقت لاحق، عمل كرئيس للجنة سوق الزراعة في Nagaram (رئيس AMC) مرتين باستثناء أنه شغل منصب نائب رئيس جمعية مطاحن الأرز في منطقة شرق جودافاري.,في وقت لاحق، عمِل كرئيس لجنة سوق الزراعة في ناجارام (رئيس AMC) مرتين، كما شغِل أيضا منصب نائب رئيس جمعية مطاحن الأرز في منطقة شرق جودافاري.,"Later, <F>she</F> worked as Nagaram Agriculture Market Committee <F>Chairwoman</F> (AMC <F>Chairwoman</F>) twice apart from that served as Vice-President of Rice Millors Association in East Godavari District.",في وقت لاحق، <F>عمِلت كرئيسة</F> لجنة سوق الزراعة في ناجارام (<F>رئيسة</F> AMC) مرتين، كما <F>شغِلت</F> أيضا منصب <F>نائبة</F> رئيس جمعية مطاحن الأرز في منطقة شرق جودافاري.,"Later, <M>he</M> worked as Nagaram Agriculture Market Committee <M>Chairman</M> (AMC <M>Chairman</M>) twice apart from that served as Vice-President of Rice Millors Association in East Godavari District.",في وقت لاحق، <M>عمِل كرئيس</M> لجنة سوق الزراعة في ناجارام (<M>رئيس</M> AMC) مرتين، كما <M>شغِل</M> أيضا منصب <M>نائب</M> رئيس جمعية مطاحن الأرز في منطقة شرق جودافاري.,she;Chairwoman;Chairwoman,عمِلت كرئيسة;رئيسة;شغِلت;نائبة,he;Chairman;Chairman,عمِل كرئيس;رئيس;شغِل;نائب,52.636994130065816,52.636994130065816,Excellent,Excellent,Incorrect,Correct
8,"In 2015, the organization criticized a Campbell's ad that depicted two moms taking care of their child by feeding her Campbell's Star Wars soup.",في عام 2015، انتقدت المنظمة إعلان كامبل الذي يصور أمتين تعتنيان بطفلهما من خلال إطعامها حساء كامبل حرب النجوم.,في عام 2015، انتقدت المنظمة إعلان كامبل الذي صور أٌمَّين تعتنيان بطفلتهما بإطعامها حساء حرب النجوم من كامبل.,"In 2015, the organization criticized a Campbell's ad that depicted two dads taking care of their child by feeding him Campbell's Star Wars soup.",في عام 2015، انتقدت المنظمة إعلان كامبل الذي يصور أبوين يعتنون بطفلهم عن طريق إطعامه حساء كامبل حرب النجوم.,في عام 2015، انتقدت المنظمة إعلان كامبل الذي صور أبوين يعتنيان بطفلهما بإطعامه حساء حرب النجوم من كامبل.,"In 2015, the organization criticized a Campbell's ad that depicted two <F>moms</F> taking care of their child by feeding <F>her</F> Campbell's Star Wars soup.",في عام 2015، انتقدت المنظمة إعلان كامبل الذي صور <F>أٌمَّين تعتنيان</F> ب<F>طفلتهما</F> ب<F>إطعامها</F> حساء حرب النجوم من كامبل.,"In 2015, the organization criticized a Campbell's ad that depicted two <M>dads</M> taking care of their child by feeding <M>him</M> Campbell's Star Wars soup.",في عام 2015، انتقدت المنظمة إعلان كامبل الذي صور <M>أبوين يعتنيان</M> ب<M>طفلهما</M> ب<M>إطعامه</M> حساء حرب النجوم من كامبل.,moms;her,أٌمَّين تعتنيان;طفلتهما;إطعامها,dads;him,أبوين يعتنيان;طفلهما;إطعامه,41.9468515826214,41.2295470431275,Very good,Very good,Incorrect,Correct
9,"She was well known in Coventry high society as a hostess and threw parties for adults, with a greater number of female guests, at which children's food and games were featured.",كانت معروفة جيدًا في مجتمع كوفنتري الراقي كمضيفة وأقامت حفلات للبالغين، مع عدد أكبر من الضيوف، حيث تم تقديم طعام الأطفال وألعابهم.,كانت معروفة في مجتمع كوفنتري الراقي كمضيفة ومقيمة حفلات للبالغين، مع عدد كبير من الضيفات، حيث يتم تقديم طعام وألعاب الأطفال.,"He was well known in Coventry high society as a host and threw parties for adults, with a greater number of male guests, at which children's food and games were featured.",كان معروفًا في مجتمع كوفنتري الراقي كمضيف وأقام حفلات للبالغين، مع عدد أكبر من الضيوف الذكور، حيث تم تقديم طعام الأطفال وألعابهم.,كان معروفًا في مجتمع كوفنتري الراقي كمضيف ومقيم حفلات للبالغين، مع عدد كبير من الضيوف، حيث يتم تقديم طعام وألعاب الأطفال .,"<F>She</F> was well known in Coventry high society as a <F>hostess</F> and threw parties for adults, with a greater number of <F>female</F> guests, at which children's food and games were featured.",<F>كانت معروفة</F> في مجتمع كوفنتري الراقي <F>كمضيفة ومقيمة</F> حفلات للبالغين، مع عدد كبير من <F>الضيفات</F>، حيث يتم تقديم طعام وألعاب الأطفال.,"<M>He</M> was well known in Coventry high society as a <M>host</M> and threw parties for adults, with a greater number of <M>male</M> guests, at which children's food and games were featured.",<M>كان معروفًا</M> في مجتمع كوفنتري الراقي <M>كمضيف ومقيم</M> حفلات للبالغين، مع عدد كبير من <M>الضيوف</M>، حيث يتم تقديم طعام وألعاب الأطفال .,She;hostess;female,كانت معروفة;كمضيفة ومقيمة;الضيفات,He;host;male,كان معروفًا;كمضيف ومقيم;الضيوف,32.236339479370045,40.90527244931956,Good,Very good,Incorrect,Correct
