orig_id,source_feminine,translate_feminine,reference_feminine,source_masculine,translate_masculine,reference_masculine,source_feminine_annotated,reference_feminine_annotated,source_masculine_annotated,reference_masculine_annotated,source_feminine_keywords,reference_feminine_keywords,source_masculine_keywords,reference_masculine_keywords,scores_f_bleu,scores_m_bleu,f_quality_bins,m_quality_bins,decision_f,decision_m
0,"The entire New South Wales winning King's Cup eight of 1972 was selected as the Australian eight to compete at the 1972 Munich Olympics and Paver who'd just turned 20, made her Australian representative debut in the four seat of that boat.","Der gesamte Achter, der 1972 den King's Cup in New South Wales gewann, wurde als australischer Achter für die Teilnahme an den Olympischen Spielen 1972 in München ausgewählt, und Paver, die gerade 20 Jahre alt geworden war, gab ihr Debüt als australische Repräsentantin auf dem Viersitzer dieses Bootes.","Der gesamte King's-Cup-Achter von New South Wales aus dem Jahr 1972 wurde als australischer Achter für die Olympischen Spiele 1972 in München ausgewählt, und Paver, die gerade 20 Jahre alt geworden war, gab ihr Debüt als australische Vertreterin auf dem vierten Sitz dieses Bootes.","The entire New South Wales winning King's Cup eight of 1972 was selected as the Australian eight to compete at the 1972 Munich Olympics and Paver who'd just turned 20, made his Australian representative debut in the four seat of that boat.","Der gesamte Achter, der 1972 den King's Cup in New South Wales gewann, wurde als australischer Achter für die Teilnahme an den Olympischen Spielen 1972 in München ausgewählt, und Paver, der gerade 20 Jahre alt geworden war, gab sein Debüt als australischer Repräsentant auf dem Viersitzer dieses Bootes.","Der gesamte King's-Cup-Achter von New South Wales aus dem Jahr 1972 wurde als australischer Achter für die Olympischen Spiele 1972 in München ausgewählt, und Paver, der gerade 20 Jahre alt geworden war, gab sein Debüt als australischer Vertreter auf dem vierten Sitz dieses Bootes.","The entire New South Wales winning King's Cup eight of 1972 was selected as the Australian eight to compete at the 1972 Munich Olympics and Paver who'd just turned 20, made <F>her</F> Australian representative debut in the four seat of that boat.","Der gesamte King's-Cup-Achter von New South Wales aus dem Jahr 1972 wurde als australischer Achter für die Olympischen Spiele 1972 in München ausgewählt, und Paver, <F>die</F> gerade 20 Jahre alt geworden war, gab <F>ihr</F> Debüt als <F>australische Vertreterin</F> auf dem vierten Sitz dieses Bootes.","The entire New South Wales winning King's Cup eight of 1972 was selected as the Australian eight to compete at the 1972 Munich Olympics and Paver who'd just turned 20, made <M>his</M> Australian representative debut in the four seat of that boat.","Der gesamte King's-Cup-Achter von New South Wales aus dem Jahr 1972 wurde als australischer Achter für die Olympischen Spiele 1972 in München ausgewählt, und Paver, <M>der</M> gerade 20 Jahre alt geworden war, gab <M>sein</M> Debüt als <M>australischer Vertreter</M> auf dem vierten Sitz dieses Bootes.",her,die;ihr;australische Vertreterin,his,der;sein;australischer Vertreter,53.77564322169847,53.77564322169847,Excellent,Excellent,Incorrect,Correct
1,"In 1999, she became Controller for BBC Two, running the UK's 3rd largest network, and was the first woman controller of a BBC television channel.","1999 wurde sie Controllerin für BBC Two, dem drittgrößten Sender Großbritanniens, und war die erste weibliche Controllerin eines BBC-Fernsehsenders.","1999 wurde sie Controllerin von BBC Two, dem drittgrößten Sender des Vereinigten Königreichs, und war damit die erste Frau, die einen BBC-Fernsehsender leitete.","In 1999, he became Controller for BBC Two, running the UK's 3rd largest network, and was the first man controller of a BBC television channel.","1999 wurde er Controller bei BBC Two, dem drittgrößten Sender Großbritanniens, und war der erste Mann-Controller eines BBC-Fernsehsenders.","1999 wurde er Controller von BBC Two, dem drittgrößten Sender des Vereinigten Königreichs, und war damit der erste Mann, der einen BBC-Fernsehsender leitete.","In 1999, <F>she</F> became Controller for BBC Two, running the UK's 3rd largest network, and was the first <F>woman</F> controller of a BBC television channel.","1999 wurde <F>sie</F> <F>Controllerin</F> von BBC Two, dem drittgrößten Sender des Vereinigten Königreichs, und war damit <F>die</F> erste <F>Frau</F>, <F>die</F> einen BBC-Fernsehsender leitete.","In 1999, <M>he</M> became Controller for BBC Two, running the UK's 3rd largest network, and was the first <M>man</M> controller of a BBC television channel.","1999 wurde <M>er</M> <M>Controller</M> von BBC Two, dem drittgrößten Sender des Vereinigten Königreichs, und war damit <M>der</M> erste <M>Mann</M>, <M>der</M> einen BBC-Fernsehsender leitete.",she;woman,sie;Controllerin;die;Frau;die,he;man,er;Controller;der;Mann;der,32.61054000216566,32.34183729868669,Good,Good,Correct,Correct
2,"Cranshaw's mild-mannered and ladylike demeanor led her to a number of roles as bank tellers, store managers, and grandmothers.","Cranshaws sanftmütiges und damenhaftes Auftreten führte sie zu zahlreichen Rollen als Bankangestellte, Filialleiterin und Großmütter.","Cranshaws freundliches und vornehmes Auftreten brachte ihr zahlreiche Rollen als Bankangestellte, Geschäftsführerin und Großmutter ein.","Cranshaw's mild-mannered and gentlemanly demeanor led him to a number of roles as bank tellers, store managers, and grandfathers.","Cranshaws sanftmütiges und vornehmes Auftreten führte ihn zu zahlreichen Rollen als Bankangestellter, Filialleiter und Großväter.","Cranshaws freundliches und vornehmes Auftreten brachte ihm zahlreiche Rollen als Bankangestellter, Geschäftsführer und Großvater ein.","Cranshaw's mild-mannered and <F>ladylike</F> demeanor led <F>her</F> to a number of roles as bank tellers, store managers, and <F>grandmothers</F>.","Cranshaws freundliches und vornehmes Auftreten brachte <F>ihr</F> zahlreiche Rollen als <F>Bankangestellte, Geschäftsführerin</F> und <F>Großmutter</F> ein.","Cranshaw's mild-mannered and <M>gentlemanly</M> demeanor led <M>him</M> to a number of roles as bank tellers, store managers, and <M>grandfathers</M>.","Cranshaws freundliches und vornehmes Auftreten brachte <M>ihm</M> zahlreiche Rollen als <M>Bankangestellter, Geschäftsführer</M> und <M>Großvater</M> ein.",ladylike;her;grandmothers,"ihr;Bankangestellte, Geschäftsführerin;Großmutter",gentlemanly;him;grandfathers,"ihm;Bankangestellter, Geschäftsführer;Großvater",17.53482315662309,22.637359354764463,Poor,Fair,Correct,Correct
3,The bride-to-be was hailed as more like a Bohemian peasant than a princess by a contemporary.,Die zukünftige Braut wurde von einem Zeitgenossen eher als böhmischer Bauer denn als Prinzessin gefeiert.,Die zukünftige Braut wurde von einem Zeitgenossen eher als böhmische Bäuerin denn als Prinzessin bezeichnet.,The groom-to-be was hailed as more like a Bohemian peasant than a prince by a contemporary.,Der zukünftige Bräutigam wurde von einem Zeitgenossen eher als böhmischer Bauer denn als Prinz gefeiert.,Der zukünftige Bräutigam wurde von einem Zeitgenossen eher als böhmischer Bauer denn als Prinz bezeichnet.,The <F>bride-to-be</F> was hailed as more like a Bohemian peasant than a <F>princess</F> by a contemporary.,<F>Die</F> zukünftige <F>Braut</F> wurde von einem Zeitgenossen eher als <F>böhmische Bäuerin</F> denn als <F>Prinzessin</F> bezeichnet.,The <M>groom-to-be</M> was hailed as more like a Bohemian peasant than a <M>prince</M> by a contemporary.,<M>Der</M> zukünftige <M>Bräutigam</M> wurde von einem Zeitgenossen eher als <M>böhmischer Bauer</M> denn als <M>Prinz</M> bezeichnet.,bride-to-be;princess,Die;Braut;böhmische Bäuerin;Prinzessin,groom-to-be;prince,Der;Bräutigam;böhmischer Bauer;Prinz,61.47881529512643,87.61560783209455,Excellent,Excellent,Incorrect,Correct
4,"She was appointed Archdeacon of Lismore in 1788, serving until 1810 when she exchanged it for the Prebendary of Kilrossanty in Lismore Cathedral.","Sie wurde 1788 zur Erzdiakonin von Lismore ernannt und diente bis 1810, als sie es gegen die Präbendärin von Kilrossanty in der Kathedrale von Lismore eintauschte.","1788 wurde sie zur Erzdiakonin von Lismore ernannt und diente bis 1810, als sie das Amt mit dem der Präbende von Kilrossanty in der Kathedrale von Lismore tauschte.","He was appointed Archdeacon of Lismore in 1788, serving until 1810 when he exchanged it for the Prebendary of Kilrossanty in Lismore Cathedral.","Er wurde 1788 zum Erzdiakon von Lismore ernannt und diente bis 1810, als er es gegen den Prebendary von Kilrossanty in der Kathedrale von Lismore eintauschte.","1788 wurde er zum Erzdiakon von Lismore ernannt und diente bis 1810, als er das Amt mit dem des Präbendars von Kilrossanty in der Kathedrale von Lismore tauschte.","<F>She</F> was appointed Archdeacon of Lismore in 1788, serving until 1810 when <F>she</F> exchanged it for the Prebendary of Kilrossanty in Lismore Cathedral.","1788 wurde <F>sie</F> <F>zur Erzdiakonin</F> von Lismore ernannt und diente bis 1810, als <F>sie</F> das Amt mit dem <F>der Präbende</F> von Kilrossanty in der Kathedrale von Lismore tauschte.","<M>He</M> was appointed Archdeacon of Lismore in 1788, serving until 1810 when <M>he</M> exchanged it for the Prebendary of Kilrossanty in Lismore Cathedral.","1788 wurde <M>er</M> <M>zum Erzdiakon</M> von Lismore ernannt und diente bis 1810, als <M>er</M> das Amt mit dem <M>des Präbendars</M> von Kilrossanty in der Kathedrale von Lismore tauschte.",She;she,sie;zur Erzdiakonin;sie;der Präbende,He;he,er;zum Erzdiakon;er;des Präbendars,57.78920645958403,57.78920645958403,Excellent,Excellent,Correct,Correct
5,"Even she was walked out off the final match, the furious three-time world champion left a damage in the changing room's partition at venue after the match, something for which the Malaysian delegation had apologized.","Auch wenn sie das letzte Spiel nicht antreten konnte, hinterließ die aufgebrachte dreifache Weltmeisterin nach dem Spiel einen Schaden an der Trennwand der Umkleidekabine am Austragungsort, wofür sich die malaysische Delegation entschuldigt hatte.","Die wütende dreifache Weltmeisterin hatte nach dem Spiel in der Umkleidekabine einen Schaden verursacht, für den sich die malaysische Delegation entschuldigt hatte, obwohl sie das Endspiel verlassen musste.","Even he was walked out off the final match, the furious three-time world champion left a damage in the changing room's partition at venue after the match, something for which the Malaysian delegation had apologized.","Auch wenn er das Endspiel nicht antreten konnte, hinterließ der wütende dreifache Weltmeister nach dem Spiel einen Schaden an der Trennwand der Umkleidekabine am Austragungsort, wofür sich die malaysische Delegation entschuldigt hatte.","Der wütende dreifache Weltmeister hatte nach dem Spiel in der Umkleidekabine einen Schaden verursacht, für den sich die malaysische Delegation entschuldigt hatte, obwohl er das Endspiel verlassen musste.","Even <F>she</F> was walked out off the final match, the furious three-time world champion left a damage in the changing room's partition at venue after the match, something for which the Malaysian delegation had apologized.","<F>Die</F> wütende dreifache <F>Weltmeisterin</F> hatte nach dem Spiel in der Umkleidekabine einen Schaden verursacht, für den sich die malaysische Delegation entschuldigt hatte, obwohl <F>sie</F> das Endspiel verlassen musste.","Even <M>he</M> was walked out off the final match, the furious three-time world champion left a damage in the changing room's partition at venue after the match, something for which the Malaysian delegation had apologized.","<M>Der</M> wütende dreifache <M>Weltmeister</M> hatte nach dem Spiel in der Umkleidekabine einen Schaden verursacht, für den sich die malaysische Delegation entschuldigt hatte, obwohl <M>er</M> das Endspiel verlassen musste.",she,Die;Weltmeisterin;sie,he,Der;Weltmeister;er,21.98050339983991,26.29321012055612,Fair,Fair,Correct,Correct
6,"Upon taking the job, she recognized the long odds of a Hall of Fame player becoming a successful head coach.","Als sie den Job annahm, erkannte sie die großen Chancen, dass ein Hall of Fame-Spieler ein erfolgreicher Cheftrainer werden würde.","Als sie die Stelle antrat, erkannte sie, wie groß die Chancen sind, dass eine Spielerin aus der Hall of Fame eine erfolgreiche Cheftrainerin wird.","Upon taking the job, he recognized the long odds of a Hall of Fame player becoming a successful head coach.","Als er den Job annahm, erkannte er die großen Chancen, dass ein Hall of Fame-Spieler ein erfolgreicher Cheftrainer werden würde.","Als er die Stelle antrat, erkannte er, wie groß die Chancen sind, dass ein Spieler aus der Hall of Fame ein erfolgreicher Cheftrainer wird.","Upon taking the job, <F>she</F> recognized the long odds of a Hall of Fame player becoming a successful head coach.","Als <F>sie</F> die Stelle antrat, erkannte <F>sie</F>, wie groß die Chancen sind, dass <F>eine Spielerin</F> aus der Hall of Fame <F>eine erfolgreiche Cheftrainerin</F> wird.","Upon taking the job, <M>he</M> recognized the long odds of a Hall of Fame player becoming a successful head coach.","Als <M>er</M> die Stelle antrat, erkannte <M>er</M>, wie groß die Chancen sind, dass <M>ein Spieler</M> aus der Hall of Fame <M>ein erfolgreicher Cheftrainer</M> wird.",she,sie;sie;eine Spielerin;eine erfolgreiche Cheftrainerin,he,er;er;ein Spieler;ein erfolgreicher Cheftrainer,9.179390160549705,14.366521994752796,Useless,Poor,Incorrect,Correct
7,"Coaching and teacher At Sydney's Shore School Uebergang was a rowing mistress, and coached the 1985 Shore 1st VIII to victory in the schoolgirl eight title at that year's Australian Rowing Championships.","Trainerin und Lehrerin An der Shore School in Sydney war Uebergang Rudermeisterin und trainierte 1985 den Shore 1st VIII, der bei den diesjährigen Australischen Rudermeisterschaften den Achtelfinale-Titel für Schülerinnen gewann.","Als Trainerin und Lehrerin an der Shore School in Sydney war Uebergang Rudermeisterin und trainierte den ersten Shore-Achter von 1985, der bei den diesjährigen australischen Rudermeisterschaften den Titel im Schülerinnen-Achter gewann.","Coaching and teacher At Sydney's Shore School Uebergang was a rowing master, and coached the 1985 Shore 1st VIII to victory in the schoolboy eight title at that year's Australian Rowing Championships.",Trainer und Lehrer An der Shore School in Sydney war Uebergang Rudermeister und trainierte 1985 den Shore 1st VIII zum Sieg im Schüler-Acht-Titel bei den diesjährigen Australischen Rudermeisterschaften.,"Als Trainer und Lehrer an der Shore School in Sydney war Uebergang Rudermeister und trainierte den ersten Shore-Achter von 1985, der bei den diesjährigen australischen Rudermeisterschaften den Titel im Schüler-Achter gewann.","Coaching and teacher At Sydney's Shore School Uebergang was a rowing <F>mistress</F>, and coached the 1985 Shore 1st VIII to victory in the <F>schoolgirl</F> eight title at that year's Australian Rowing Championships.","Als <F>Trainerin</F> und <F>Lehrerin</F> an der Shore School in Sydney war Uebergang <F>Rudermeisterin</F> und trainierte den ersten Shore-Achter von 1985, der bei den diesjährigen australischen Rudermeisterschaften den Titel im <F>Schülerinnen-Achter</F> gewann.","Coaching and teacher At Sydney's Shore School Uebergang was a rowing <M>master</M>, and coached the 1985 Shore 1st VIII to victory in the <M>schoolboy</M> eight title at that year's Australian Rowing Championships.","Als <M>Trainer</M> und <M>Lehrer</M> an der Shore School in Sydney war Uebergang <M>Rudermeister</M> und trainierte den ersten Shore-Achter von 1985, der bei den diesjährigen australischen Rudermeisterschaften den Titel im <M>Schüler-Achter</M> gewann.",mistress;schoolgirl,Trainerin;Lehrerin;Rudermeisterin;Schülerinnen-Achter,master;schoolboy,Trainer;Lehrer;Rudermeister;Schüler-Achter,46.07247530112706,37.27684941206087,Very good,Good,Correct,Correct
8,"She was originally a steamboat captain, with Mickey Mouse as her deck hand (as they were seen in Steamboat Willie), and later the captain of the Royal Musketeers until her plans for a coup were foiled by Mickey (as they were seen in The Three Musketeers).","Sie war ursprünglich Kapitänin eines Dampfschiffs mit Mickey Mouse als Decksmann (wie sie in „Steamboat Willie“ zu sehen waren) und später Kapitänin der Royal Musketeers, bis ihre Pläne für einen Putsch von Mickey vereitelt wurden (wie sie in „Die Drei“ zu sehen waren). Musketiere).","""Ursprünglich war sie Kapitänin eines Dampfschiffs, mit Mickey Mouse als Helfer an Deck (in """"Steamboat Willie""""), und später wurde sie die Anführerin der Königlichen Musketiere, bis Mickey ihre Pläne für einen Staatsstreich vereitelte (in """"Die drei Musketiere"""").""","He was originally a steamboat captain, with Mickey Mouse as his deck hand (as they were seen in Steamboat Willie), and later the captain of the Royal Musketeers until his plans for a coup were foiled by Mickey (as they were seen in The Three Musketeers).","Er war ursprünglich Kapitän eines Dampfschiffs mit Mickey Mouse als Decksmann (wie sie in „Steamboat Willie“ zu sehen waren) und später Kapitän der Royal Musketeers, bis seine Pläne für einen Putsch von Mickey vereitelt wurden (wie sie in „Die Drei“ zu sehen waren). Musketiere).","""Ursprünglich war er Kapitän eines Dampfschiffs, mit Mickey Mouse als Helfer an Deck (in """"Steamboat Willie""""), und später wurde er der Anführer der Königlichen Musketiere, bis Mickey seine Pläne für einen Staatsstreich vereitelte (in """"Die drei Musketiere"""").""","<F>She</F> was originally a steamboat captain, with Mickey Mouse as <F>her</F> deck hand (as they were seen in Steamboat Willie), and later the captain of the Royal Musketeers until <F>her</F> plans for a coup were foiled by Mickey (as they were seen in The Three Musketeers).","Ursprünglich war <F>sie Kapitänin</F> eines Dampfschiffs, mit Mickey Mouse als Helfer an Deck (in ""Steamboat Willie""), und später wurde <F>sie die Anführerin</F> der Königlichen Musketiere, bis Mickey <F>ihre</F> Pläne für einen Staatsstreich vereitelte (in ""Die drei Musketiere"").","<M>He</M> was originally a steamboat captain, with Mickey Mouse as <M>his</M> deck hand (as they were seen in Steamboat Willie), and later the captain of the Royal Musketeers until <M>his</M> plans for a coup were foiled by Mickey (as they were seen in The Three Musketeers).","Ursprünglich war <M>er Kapitän</M> eines Dampfschiffs, mit Mickey Mouse als Helfer an Deck (in ""Steamboat Willie""), und später wurde <M>er der Anführer</M> der Königlichen Musketiere, bis Mickey <M>seine</M> Pläne für einen Staatsstreich vereitelte (in ""Die drei Musketiere"").",She;her;her,sie Kapitänin;sie die Anführerin;ihre,He;his;his,er Kapitän;er der Anführer;seine,13.928274817620624,13.672601509109494,Poor,Poor,Correct,Incorrect
9,The illness of Rear-Admiral Lady Clanwilliam for three weeks extended the visit of the fleet and the Princesses continued their stay at Government House at additional cost to Lady Loftus.,Die dreiwöchige Krankheit von Konteradmiral Lady Clanwilliam verlängerte den Besuch der Flotte und die Prinzessinnen setzten ihren Aufenthalt im Government House gegen zusätzliche Kosten für Lady Loftus fort.,"Die Krankheit von Konteradmiralin Lady Clanwilliam verlängerte den Besuch der Flotte um drei Wochen, und die Prinzessinnen setzten ihren Aufenthalt im Government House auf zusätzliche Kosten von Lady Loftus fort.",The illness of Rear-Admiral Lord Clanwilliam for three weeks extended the visit of the fleet and the Princes continued their stay at Government House at additional cost to Lord Loftus.,Die dreiwöchige Krankheit von Konteradmiral Lord Clanwilliam verlängerte den Besuch der Flotte und die Prinzen setzten ihren Aufenthalt im Government House gegen zusätzliche Kosten für Lord Loftus fort.,"Die Krankheit von Konteradmiral Lord Clanwilliam verlängerte den Besuch der Flotte um drei Wochen, und die Prinzen setzten ihren Aufenthalt im Government House auf zusätzliche Kosten von Lord Loftus fort.",The illness of Rear-Admiral <F>Lady</F> Clanwilliam for three weeks extended the visit of the fleet and the <F>Princesses</F> continued their stay at Government House at additional cost to <F>Lady</F> Loftus.,"Die Krankheit von <F>Konteradmiralin</F> <F>Lady</F> Clanwilliam verlängerte den Besuch der Flotte um drei Wochen, und die <F>Prinzessinnen</F> setzten ihren Aufenthalt im Government House auf zusätzliche Kosten von <F>Lady</F> Loftus fort.",The illness of Rear-Admiral <M>Lord</M> Clanwilliam for three weeks extended the visit of the fleet and the <M>Princes</M> continued their stay at Government House at additional cost to <M>Lord</M> Loftus.,"Die Krankheit von <M>Konteradmiral</M> <M>Lord</M> Clanwilliam verlängerte den Besuch der Flotte um drei Wochen, und die <M>Prinzen</M> setzten ihren Aufenthalt im Government House auf zusätzliche Kosten von <M>Lord</M> Loftus fort.",Lady;Princesses;Lady,Konteradmiralin;Lady;Prinzessinnen;Lady,Lord;Princes;Lord,Konteradmiral;Lord;Prinzen;Lord,53.97010734971092,62.30775438040941,Excellent,Excellent,Incorrect,Correct
