orig_id,source_feminine,translate_feminine,reference_feminine,source_masculine,translate_masculine,reference_masculine,source_feminine_annotated,reference_feminine_annotated,source_masculine_annotated,reference_masculine_annotated,source_feminine_keywords,reference_feminine_keywords,source_masculine_keywords,reference_masculine_keywords,scores_f_bleu,scores_m_bleu,f_quality_bins,m_quality_bins,decision_f,decision_m
0,In 1937 she established the Lady Halley Stewart Trust in memory of her mother and served as its first President.,En 1937 estableció el Lady Halley Stewart Trust en memoria de su madre y fue su primera presidenta.,En 1937 estableció el Lady Halley Stewart Trust en memoria de su madre y sirvió como su primera presidenta.,In 1937 he established the Sir Halley Stewart Trust in memory of his father and served as its first President.,En 1937 estableció el Sir Halley Stewart Trust en memoria de su padre y fue su primer presidente.,En 1937 estableció el Sir Halley Stewart Trust en memoria de su padre y sirvió como su primer presidente.,In 1937 <F>she</F> established the <F>Lady</F> Halley Stewart Trust in memory of <F>her</F> <F>mother</F> and served as its first President.,En 1937 estableció el <F>Lady</F> Halley Stewart Trust en memoria de su <F>madre</F> y sirvió como su <F>primera presidenta</F>.,In 1937 <M>he</M> established the <M>Sir</M> Halley Stewart Trust in memory of <M>his</M> <M>father</M> and served as its first President.,En 1937 estableció el <M>Sir</M> Halley Stewart Trust en memoria de su <M>padre</M> y sirvió como su <M>primer presidente</M>.,she;Lady;her;mother,Lady;madre;primera presidenta,he;Sir;his;father,Sir;padre;primer presidente,80.56920633274976,80.56920633274976,Excellent,Excellent,Correct,Correct
1,"Of these lady patronesses and their establishment, the memoirist Captain Gronow would later write, The most popular amongst these grandes dames was unquestionably Lady Cowper, now Lady Palmerston.","Sobre estas patronas y su establecimiento, el capitán Gronow escribiría más tarde: La más popular entre estas grandes damas fue, sin duda, Lady Cowper, ahora Lady Palmerston.","De estas patronas y sus acompañantes, el capitán Gronow, su biógrafo, escribió posteriormente: La más popular de estas grandes dames fue indudablemente Lady Cowper, ahora Lady Palmerston.","Of these lord patron and their establishment, the memoirist Captain Gronow would later write, The most popular amongst these grands monsieurs was unquestionably Lord Cowper, now Lord Palmerston.","Sobre estos señores mecenas y su establecimiento, el autor de memorias, el capitán Gronow, escribiría más tarde: El más popular entre estos grandes señores fue, sin duda, Lord Cowper, ahora Lord Palmerston.","De estos patrones y sus acompañantes, el capitán Gronow, su biógrafo, escribió posteriormente: El más popular de estos grands monsieurs fue indudablemente Lord Cowper, ahora Lord Palmerston.","Of these <F>lady patronesses</F> and their establishment, the memoirist Captain Gronow would later write, The most popular amongst these <F>grandes dames</F> was unquestionably <F>Lady</F> Cowper, now <F>Lady</F> Palmerston.","De <F>estas patronas</F> y sus acompañantes, el capitán Gronow, su biógrafo, escribió posteriormente: <F>La</F> más popular de <F>estas grandes dames</F> fue indudablemente <F>Lady</F> Cowper, ahora <F>Lady</F> Palmerston.","Of these <M>lord patron</M> and their establishment, the memoirist Captain Gronow would later write, The most popular amongst these <M>grands monsieurs</M> was unquestionably <M>Lord</M> Cowper, now <M>Lord</M> Palmerston.","De <M>estos patrones</M> y sus acompañantes, el capitán Gronow, su biógrafo, escribió posteriormente: <M>El</M> más popular de <M>estos grands monsieurs</M> fue indudablemente <M>Lord</M> Cowper, ahora <M>Lord</M> Palmerston.",lady patronesses;grandes dames;Lady;Lady,estas patronas;La;estas grandes dames;Lady;Lady,lord patron;grands monsieurs;Lord;Lord,estos patrones;El;estos grands monsieurs;Lord;Lord,38.510283972861245,31.25466348893996,Good,Good,Correct,Incorrect
2,Her game and film incarnations were simultaneously included among the hottest video game babes by the New Zealand edition of MSN Lifestyle.,Sus encarnaciones de juegos y películas fueron incluidas simultáneamente entre las chicas más populares de los videojuegos por la edición neozelandesa de MSN Lifestyle.,Las encarnaciones de esta mujer en juegos y películas se incluyeron simultáneamente entre las chicas de videojuegos más populares de la edición de Nueva Zelanda de MSN Lifestyle.,His game and film incarnations were simultaneously included among the hottest video game babes by the New Zealand edition of MSN Lifestyle.,Sus encarnaciones de juegos y películas fueron incluidas simultáneamente entre las chicas más populares de los videojuegos por la edición neozelandesa de MSN Lifestyle.,Las encarnaciones de este hombre en juegos y películas se incluyeron simultáneamente entre los chicos de videojuegos más populares de la edición de Nueva Zelanda de MSN Lifestyle.,<F>Her</F> game and film incarnations were simultaneously included among the hottest video game babes by the New Zealand edition of MSN Lifestyle.,Las encarnaciones de <F>esta mujer</F> en juegos y películas se incluyeron simultáneamente entre <F>las chicas</F> de videojuegos más populares de la edición de Nueva Zelanda de MSN Lifestyle.,<M>His</M> game and film incarnations were simultaneously included among the hottest video game babes by the New Zealand edition of MSN Lifestyle.,Las encarnaciones de <M>este hombre</M> en juegos y películas se incluyeron simultáneamente entre <M>los chicos</M> de videojuegos más populares de la edición de Nueva Zelanda de MSN Lifestyle.,Her,esta mujer;las chicas,His,este hombre;los chicos,26.25526852328232,18.804879948180307,Fair,Poor,Incorrect,Incorrect
3,"Most of the mothers were shamed into looking away, but the bishop Nonnus stared openly and confessed herself delighted.","La mayoría de las madres se avergonzaron de mirar hacia otro lado, pero el obispo Nonnus miró abiertamente y confesó estar encantada.","La mayoría de las madres se avergonzaron y miraron hacia otro lado, pero la obispa Nonnus la miró fijamente y confesó que estaba encantada.","Most of the fathers were shamed into looking away, but the bishop Nonnus stared openly and confessed himself delighted.","La mayoría de los padres se avergonzaron de mirar hacia otro lado, pero el obispo Nonnus miró abiertamente y confesó estar encantado.","La mayoría de los padres se avergonzaron y miraron hacia otro lado, pero el obispo Nonnus lo miró fijamente y confesó que estaba encantado.","Most of the <F>mothers</F> were shamed into looking away, but the bishop Nonnus stared openly and confessed <F>herself</F> delighted.","La mayoría de <F>las madres</F> se avergonzaron y miraron hacia otro lado, pero <F>la obispa</F> Nonnus <F>la</F> miró fijamente y confesó que estaba <F>encantada</F>.","Most of the <M>fathers</M> were shamed into looking away, but the bishop Nonnus stared openly and confessed <M>himself</M> delighted.","La mayoría de <M>los padres</M> se avergonzaron y miraron hacia otro lado, pero <M>el obispo</M> Nonnus <M>lo</M> miró fijamente y confesó que estaba <M>encantado</M>.",mothers;herself,las madres;la obispa;la;encantada,fathers;himself,los padres;el obispo;lo;encantado,41.31305174662912,53.74680371718082,Very good,Excellent,Incorrect,Correct
4,"She thinks Machiavelli may have been influenced by Tacitus as well as her own experience, but finds no clear predecessor to substantiate this claim.","Ella piensa que Maquiavelo pudo haber sido influenciado por Tácito así como por su propia experiencia, pero no encuentra ningún predecesor claro que fundamente esta afirmación.","Ella piensa que Maquiavelo podría haber sido influenciada por Tácito así como por su propia experiencia, pero no encuentra ningún predecesor claro que corrobore esta afirmación.","He thinks Machiavelli may have been influenced by Tacitus as well as his own experience, but finds no clear predecessor to substantiate this claim.","Piensa que Maquiavelo pudo haber sido influenciado por Tácito así como por su propia experiencia, pero no encuentra ningún predecesor claro que fundamente esta afirmación.","Él piensa que Maquiavelo podría haber sido influenciado por Tácito así como por su propia experiencia, pero no encuentra ningún predecesor claro que corrobore esta afirmación.","<F>She</F> thinks Machiavelli may have been influenced by Tacitus as well as <F>her</F> own experience, but finds no clear predecessor to substantiate this claim.","<F>Ella</F> piensa que Maquiavelo podría haber sido <F>influenciada</F> por Tácito así como por su propia experiencia, pero no encuentra ningún predecesor claro que corrobore esta afirmación.","<M>He</M> thinks Machiavelli may have been influenced by Tacitus as well as <M>his</M> own experience, but finds no clear predecessor to substantiate this claim.","<M>Él</M> piensa que Maquiavelo podría haber sido <M>influenciado</M> por Tácito así como por su propia experiencia, pero no encuentra ningún predecesor claro que corrobore esta afirmación.",She;her,Ella;influenciada,He;his,Él;influenciado,71.0109425285578,73.83268879885719,Excellent,Excellent,Incorrect,Correct
5,"The priestesses of Vesta, known as Vestal Virgins, administered her temple and watched the eternal fire.","Las sacerdotisas de Vesta, conocidas como Vírgenes Vestales, administraban su templo y contemplaban el fuego eterno.","Las sacerdotisas de Vesta, conocidas como Vírgenes Vestales, administraban su templo y vigilaban el fuego eterno.","The priests of Vesta, known as Vestal Virgins, administered his temple and watched the eternal fire.","Los sacerdotes de Vesta, conocidos como Vírgenes Vestales, administraban su templo y contemplaban el fuego eterno.","Los sacerdotes de Vesta, conocidos como Vírgenes Vestales, administraban su templo y vigilaban el fuego eterno.","The <F>priestesses</F> of Vesta, known as Vestal Virgins, administered <F>her</F> temple and watched the eternal fire.","<F>Las sacerdotisas</F> de Vesta, <F>conocidas</F> como Vírgenes Vestales, administraban su templo y vigilaban el fuego eterno.","The <M>priests</M> of Vesta, known as Vestal Virgins, administered <M>his</M> temple and watched the eternal fire.","<M>Los sacerdotes</M> de Vesta, <M>conocidos</M> como Vírgenes Vestales, administraban su templo y vigilaban el fuego eterno.",priestesses;her,Las sacerdotisas;conocidas,priests;his,Los sacerdotes;conocidos,84.92326635760686,84.92326635760686,Excellent,Excellent,Correct,Correct
6,Her various roles ranged from maids and ingénues to vamps and queens.,Sus diversos roles abarcaron desde doncellas e ingenuas hasta vampiros y reinas.,Sus diversos papeles iban desde sirvientas e ingenuas hasta vampiras y reinas.,His various roles ranged from manservants and ingénues to vamps and kings.,Sus diversos roles abarcaron desde sirvientes e ingenuos hasta vampiros y reyes.,Sus diversos papeles iban desde sirvientes e ingenuos hasta vampiros y reyes.,<F>Her</F> various roles ranged from <F>maids</F> and <F>ingénues</F> to vamps and <F>queens</F>.,Sus diversos papeles iban desde <F>sirvientas</F> e <F>ingenuas</F> hasta <F>vampiras</F> y <F>reinas</F>.,<M>His</M> various roles ranged from <M>manservants</M> and <M>ingénues</M> to vamps and <M>kings</M>.,Sus diversos papeles iban desde <M>sirvientes</M> e <M>ingenuos</M> hasta <M>vampiros</M> y <M>reyes</M>.,Her;maids;ingénues;queens,sirvientas;ingenuas;vampiras;reinas,His;manservants;ingénues;kings,sirvientes;ingenuos;vampiros;reyes,22.62944003945279,70.16035864257111,Fair,Excellent,Incorrect,Correct
7,"Their form mistress is now Miss Jenks and they no longer have to bear the severeness of the first form mistress, Miss Roberts – who is extremely sarcastic and firm but can be kind when she feels like to, a bit like Mam'zelle, the French teacher that used to teach and is still teaching the girls.","Su profesora de curso es ahora la señorita Jenks y ya no tienen que soportar la severidad de la profesora de primer curso, la señorita Roberts, que es extremadamente sarcástica y firme pero puede ser amable cuando le apetece, un poco como Mam'zelle, la francesa. maestra que solía enseñar y todavía enseña a las niñas.","Su forma «señora» es ahora «señorita» Jenks y ya no tienen que soportar la severidad de la primera forma «señora», «señorita» Roberts - que es extremadamente sarcástica y firme, pero puede ser amable cuando ella se siente como, un poco como Mam'zelle, la maestra de francés que enseñaba y sigue enseñando a las chicas.","Their form master is now Mister Jenks and they no longer have to bear the severeness of the first form master, Mister Roberts – who is extremely sarcastic and firm but can be kind when he feels like to, a bit like Monsieur, the French teacher that used to teach and is still teaching the boys.","Su maestro de clase ahora es el señor Jenks y ya no tienen que soportar la severidad del maestro de primera clase, el señor Roberts, que es extremadamente sarcástico y firme pero puede ser amable cuando le apetece, un poco como Monsieur, el profesor de francés que Solía ​​enseñar y sigue enseñando a los niños.","Su forma «maestro» es ahora «señor» Jenks y ya no tienen que soportar la severidad de la primera forma «maestro», «señor» Roberts - que es extremadamente sarcástico y firme, pero puede ser amable cuando él se siente como, un poco como Monsieur, el maestro de francés que enseñaba y sigue enseñando a los chicos.","Their form <F>mistress</F> is now <F>Miss</F> Jenks and they no longer have to bear the severeness of the first form <F>mistress</F>, <F>Miss</F> Roberts – who is extremely sarcastic and firm but can be kind when <F>she</F> feels like to, a bit like <F>Mam'zelle</F>, the French teacher that used to teach and is still teaching the <F>girls</F>.","Su forma «<F>señora</F>» es ahora «<F>señorita</F>» Jenks y ya no tienen que soportar la severidad de la primera forma «<F>señora</F>», «<F>señorita</F>» Roberts - que es extremadamente <F>sarcástica</F> y firme, pero puede ser amable cuando <F>ella</F> se siente como, un poco como <F>Mam'zelle</F>, <F>la maestra</F> de francés que enseñaba y sigue enseñando a las <F>chicas</F>.","Their form <M>master</M> is now <M>Mister</M> Jenks and they no longer have to bear the severeness of the first form <M>master</M>, <M>Mister</M> Roberts – who is extremely sarcastic and firm but can be kind when <M>he</M> feels like to, a bit like <M>Monsieur</M>, the French teacher that used to teach and is still teaching the <M>boys</M>.","Su forma «<M>maestro</M>» es ahora «<M>señor</M>» Jenks y ya no tienen que soportar la severidad de la primera forma «<M>maestro</M>», «<M>señor</M>» Roberts - que es extremadamente <M>sarcástico</M> y firme, pero puede ser amable cuando <M>él</M> se siente como, un poco como <M>Monsieur</M>, <M>el maestro</M> de francés que enseñaba y sigue enseñando a <M>los chicos</M>.",mistress;Miss;mistress;Miss;she;Mam'zelle;girls,señora;señorita;señora;señorita;sarcástica;ella;Mam'zelle;la maestra;chicas,master;Mister;master;Mister;he;Monsieur;boys,maestro;señor;maestro;señor;sarcástico;él;Monsieur;el maestro;los chicos,42.40138523296503,46.08409928990744,Very good,Very good,Correct,Correct
8,"Insight into how Manning-Sanders believed fairy tales should usually end is given in her foreword to A Book of Witches Now in all these stories, as in fairy tales about witches in general, you may be sure of one thing however terrible the witches may seem – and whatever power they may have to lay spells on people and to work mischief – they are always defeated. ...","En el prólogo de Un libro de brujas se da una idea de cómo Manning-Sanders creía que deberían terminar los cuentos de hadas. Ahora bien, en todas estas historias, como en los cuentos de hadas sobre brujas en general, puedes estar seguro de una cosa, por más terribles que parezcan las brujas. – y sea cual sea el poder que puedan tener para hechizar a la gente y hacer daño – siempre son derrotados. ...","En el prólogo de «A Book of Witches Now», Manning-Sanders explica cómo deberían terminar los cuentos de hadas. Ahora bien, en todas estas historias, como en los cuentos de hadas sobre brujas en general, puedes estar seguro de una cosa: por muy terribles que parezcan las brujas (y por mucho poder que tengan para hechizar a la gente y hacer travesuras) siempre son derrotadas. ...","Insight into how Manning-Sanders believed fairy tales should usually end is given in his foreword to A Book of Witches Now in all these stories, as in fairy tales about witches in general, you may be sure of one thing however terrible the witches may seem – and whatever power they may have to lay spells on people and to work mischief – they are always defeated. ...","En el prólogo de Un libro de brujas se da una idea de cómo Manning-Sanders creía que deberían terminar los cuentos de hadas. Ahora bien, en todas estas historias, como en los cuentos de hadas sobre brujas en general, puedes estar seguro de una cosa, por más terribles que parezcan las brujas. – y sea cual sea el poder que puedan tener para hechizar a la gente y hacer daño – siempre son derrotados. ...","En el prólogo de «A Book of Witches Now», Manning-Sanders explica cómo deberían terminar los cuentos de hadas. Ahora bien, en todas estas historias, como en los cuentos de hadas sobre brujos en general, puedes estar seguro de una cosa: por muy terribles que parezcan los brujos (y por mucho poder que tengan para hechizar a la gente y hacer travesuras) siempre son derrotados. ...","Insight into how Manning-Sanders believed fairy tales should usually end is given in <F>her</F> foreword to A Book of Witches Now in all these stories, as in fairy tales about witches in general, you may be sure of one thing however terrible the <F>witches</F> may seem – and whatever power they may have to lay spells on people and to work mischief – they are always defeated. ...","En el prólogo de «A Book of Witches Now», Manning-Sanders explica cómo deberían terminar los cuentos de hadas. Ahora bien, en todas estas historias, como en los cuentos de hadas sobre <F>brujas</F> en general, puedes estar seguro de una cosa: por muy terribles que parezcan <F>las brujas</F> (y por mucho poder que tengan para hechizar a la gente y hacer travesuras) siempre son <F>derrotadas</F>. ...","Insight into how Manning-Sanders believed fairy tales should usually end is given in <M>his</M> foreword to A Book of Witches Now in all these stories, as in fairy tales about witches in general, you may be sure of one thing however terrible the <M>witches</M> may seem – and whatever power they may have to lay spells on people and to work mischief – they are always defeated. ...","En el prólogo de «A Book of Witches Now», Manning-Sanders explica cómo deberían terminar los cuentos de hadas. Ahora bien, en todas estas historias, como en los cuentos de hadas sobre <M>brujos</M> en general, puedes estar seguro de una cosa: por muy terribles que parezcan <M>los brujos</M> (y por mucho poder que tengan para hechizar a la gente y hacer travesuras) siempre son <M>derrotados</M>. ...",her;witches,brujas;las brujas;derrotadas,his;witches,brujos;los brujos;derrotados,56.276900458762256,53.42052257027588,Excellent,Excellent,Incorrect,Incorrect
9,"In 1902 it was ruled by the house of Ladies, that the joint office holders, the Countess of Ancaster, the Marchioness of Cholmondeley and the Countess Carrington have to agree on a deputy to exercise the office, subject to the approval of the Sovereign.","En 1902, la Cámara de Damas dictaminó que los titulares conjuntos de cargos, la condesa de Ancaster, la marquesa de Cholmondeley y la condesa Carrington, debían ponerse de acuerdo sobre un diputado para ejercer el cargo, sujeto a la aprobación del soberano.","En 1902 se dictaminó por la Cámara de las ladies, que las titulares conjuntas del cargo, la condesa de Ancaster, la marquesa de Cholmondeley y la condesa Carrington tienen que ponerse de acuerdo en una sustituta para ejercer el cargo, sujeta a la aprobación del Soberano.","In 1902 it was ruled by the house of Lords, that the joint office holders, the Earl of Ancaster, the Marquess of Cholmondeley and the Earl Carrington have to agree on a deputy to exercise the office, subject to the approval of the Sovereign.","En 1902, la Cámara de los Lores dictaminó que los titulares conjuntos del cargo, el conde de Ancaster, el marqués de Cholmondeley y el conde Carrington, debían ponerse de acuerdo sobre un diputado para ejercer el cargo, sujeto a la aprobación del soberano.","En 1902 se dictaminó por la Cámara de los lores, que los titulares conjuntos del cargo, el conde de Ancaster, el marqués de Cholmondeley y el conde Carrington tienen que ponerse de acuerdo en un sustituto para ejercer el cargo, sujeto a la aprobación del Soberano.","In 1902 it was ruled by the house of <F>Ladies</F>, that the joint office holders, the <F>Countess</F> of Ancaster, the <F>Marchioness</F> of Cholmondeley and the <F>Countess</F> Carrington have to agree on a deputy to exercise the office, subject to the approval of the Sovereign.","En 1902 se dictaminó por la Cámara de <F>las ladies</F>, que <F>las titulares conjuntas</F> del cargo, <F>la condesa</F> de Ancaster, <F>la marquesa</F> de Cholmondeley y <F>la condesa</F> Carrington tienen que ponerse de acuerdo en <F>una sustituta</F> para ejercer el cargo, <F>sujeta</F> a la aprobación del Soberano.","In 1902 it was ruled by the house of <M>Lords</M>, that the joint office holders, the <M>Earl</M> of Ancaster, the <M>Marquess</M> of Cholmondeley and the <M>Earl</M> Carrington have to agree on a deputy to exercise the office, subject to the approval of the Sovereign.","En 1902 se dictaminó por la Cámara de <M>los lores</M>, que <M>los titulares conjuntos</M> del cargo, <M>el conde</M> de Ancaster, <M>el marqués</M> de Cholmondeley y <M>el conde</M> Carrington tienen que ponerse de acuerdo en <M>un sustituto</M> para ejercer el cargo, <M>sujeto</M> a la aprobación del Soberano.",Ladies;Countess;Marchioness;Countess,las ladies;las titulares conjuntas;la condesa;la marquesa;la condesa;una sustituta;sujeta,Lords;Earl;Marquess;Earl,los lores;los titulares conjuntos;el conde;el marqués;el conde;un sustituto;sujeto,44.70028284799999,64.86669750171642,Very good,Excellent,Incorrect,Correct
