orig_id,source_feminine,translate_feminine,reference_feminine,source_masculine,translate_masculine,reference_masculine,source_feminine_annotated,reference_feminine_annotated,source_masculine_annotated,reference_masculine_annotated,source_feminine_keywords,reference_feminine_keywords,source_masculine_keywords,reference_masculine_keywords,scores_f_bleu,scores_m_bleu,f_quality_bins,m_quality_bins,decision_f,decision_m
0,"Both there and at Pisa, where she was subsequently governor in 1700, her popularity was so great that on her removal the inhabitants of both cities petitioned for her recall.","Là-bas et à Pise, où elle fut par la suite gouverneur en 1700, sa popularité était si grande que lors de sa destitution, les habitants des deux villes demandèrent son rappel.","Ici et à Pise, où elle fut ensuite gouverneure en 1700, sa popularité était si grande que lors de sa destitution, les habitants des deux villes pétitionnèrent pour qu'elle revienne à ses fonctions.","Both there and at Pisa, where he was subsequently governor in 1700, his popularity was so great that on his removal the inhabitants of both cities petitioned for his recall.","Là-bas et à Pise, où il fut ensuite gouverneur en 1700, sa popularité était si grande que, lors de son renvoi, les habitants des deux villes demandèrent son rappel.","Ici et à Pise, où il fut ensuite gouverneur en 1700, sa popularité était si grande que lors de sa destitution, les habitants des deux villes pétitionnèrent pour qu'il revienne à ses fonctions.","Both there and at Pisa, where <F>she</F> was subsequently governor in 1700, <F>her</F> popularity was so great that on <F>her</F> removal the inhabitants of both cities petitioned for <F>her</F> recall.","Ici et à Pise, où <F>elle</F> fut ensuite <F>gouverneure</F> en 1700, sa popularité était si grande que lors de sa destitution, les habitants des deux villes pétitionnèrent pour qu'<F>elle</F> revienne à ses fonctions.","Both there and at Pisa, where <M>he</M> was subsequently governor in 1700, <M>his</M> popularity was so great that on <M>his</M> removal the inhabitants of both cities petitioned for <M>his</M> recall.","Ici et à Pise, où <M>il</M> fut ensuite <M>gouverneur</M> en 1700, sa popularité était si grande que lors de sa destitution, les habitants des deux villes pétitionnèrent pour qu'<M>il</M> revienne à ses fonctions.",she;her;her;her,elle;gouverneure;elle,he;his;his;his,il;gouverneur;il,65.18345454413715,61.29178812363972,Excellent,Excellent,Incorrect,Correct
1,It makes no difference if the world is offended because I have made Dr Goethe a member of my most important collegium without her having passed through the stages of minor official professor and councillor of state.”,Cela ne fait aucune différence si le monde est offensé parce que j'ai fait du Dr Goethe un membre de mon collège le plus important sans qu'elle soit passée par le stade de professeur officiel mineur et de conseiller d'État.»,"""Cela ne fait aucune différence que le monde soit offensé que j'ai fait du Dr Goethe un membre de mon crucial collegium, sans qu'elle soit passée par les étapes de professeur officiel mineur et de conseiller d’État.""""""",It makes no difference if the world is offended because I have made Dr Goethe a member of my most important collegium without his having passed through the stages of minor official professor and councillor of state.”,Cela ne fait aucune différence si le monde est offensé parce que j'ai fait du Dr Goethe un membre de mon collège le plus important sans qu'il soit passé par le stade de professeur officiel mineur et de conseiller d'État.»,"""Cela ne fait aucune différence que le monde soit offensé que j'ai fait du Dr Goethe un membre de mon crucial collegium, sans qu'il soit passé par les étapes de professeur officiel mineur et de conseiller d’État.""""""",It makes no difference if the world is offended because I have made Dr Goethe a member of my most important collegium without <F>her</F> having passed through the stages of minor official professor and councillor of state.”,"Cela ne fait aucune différence que le monde soit offensé que j'ai fait du Dr Goethe un membre de mon crucial collegium, sans qu'<F>elle</F> soit <F>passée</F> par les étapes de professeur officiel mineur et de conseiller d’État.""",It makes no difference if the world is offended because I have made Dr Goethe a member of my most important collegium without <M>his</M> having passed through the stages of minor official professor and councillor of state.”,"Cela ne fait aucune différence que le monde soit offensé que j'ai fait du Dr Goethe un membre de mon crucial collegium, sans qu'<M>il</M> soit <M>passé</M> par les étapes de professeur officiel mineur et de conseiller d’État.""",her,elle;passée,his,il;passé,51.75766409562612,51.75766409562612,Excellent,Excellent,Correct,Correct
2,"She worked part-time as an amateur scoutess for the Ottawa Senators starting in 2006, then was hired full-time in 2008.","Elle a travaillé à temps partiel comme dépistrice amateur pour les Sénateurs d'Ottawa à partir de 2006, puis a été embauchée à temps plein en 2008.","Elle travailla comme dépisteuse amateure à mi-temps pour les Sénateurs d'Ottawa en 2006, et fut engagée à plein temps en 2008.","He worked part-time as an amateur scout for the Ottawa Senators starting in 2006, then was hired full-time in 2008.","Il a travaillé à temps partiel comme dépisteur amateur pour les Sénateurs d'Ottawa à partir de 2006, puis a été embauché à temps plein en 2008.","Il travailla comme dépisteur amateur à mi-temps pour les Sénateurs d'Ottawa en 2006, et fut engagé à plein temps en 2008.","<F>She</F> worked part-time as an amateur <F>scoutess</F> for the Ottawa Senators starting in 2006, then was hired full-time in 2008.","<F>Elle</F> travailla comme <F>dépisteuse amateure</F> à mi-temps pour les Sénateurs d'Ottawa en 2006, et fut <F>engagée</F> à plein temps en 2008.","<M>He</M> worked part-time as an amateur <M>scout</M> for the Ottawa Senators starting in 2006, then was hired full-time in 2008.","<M>Il</M> travailla comme <M>dépisteur amateur</M> à mi-temps pour les Sénateurs d'Ottawa en 2006, et fut <M>engagé</M> à plein temps en 2008.",She;scoutess,Elle;dépisteuse amateure;engagée,He;scout,Il;dépisteur amateur;engagé,15.310245441182444,18.240676320522173,Poor,Poor,Incorrect,Correct
3,"The Stroganov chronicle says that On was killed by a chieftess called Chingi who spared Taibuga, sent her to fight the Ostyaks and granted her her own principality.","La chronique Stroganov raconte qu'On fut tué par une cheffe appelée Chingi qui épargna Taibuga, l'envoya combattre les Ostiaks et lui accorda sa propre principauté.","La chronique des Stroganoff raconte qu'On fut tué par une cheffe nommée Chimgi qui épargna Tajbugha, l'envoya se battre contre les Ostiaks et lui accorda sa propre principauté.","The Stroganov chronicle says that On was killed by a chief called Chingi who spared Taibuga, sent him to fight the Ostyaks and granted him his own principality.","La chronique Stroganov raconte qu'On fut tué par un chef appelé Chingi qui épargna Taibuga, l'envoya combattre les Ostiaks et lui accorda sa propre principauté.","La chronique des Stroganoff raconte qu'On fut tué par un chef nommé Chimgi qui épargna Tajbugha, l'envoya se battre contre les Ostiaks et lui accorda sa propre principauté.","The Stroganov chronicle says that On was killed by a <F>chieftess</F> called Chingi who spared Taibuga, sent <F>her</F> to fight the Ostyaks and granted <F>her</F> <F>her</F> own principality.","La chronique des Stroganoff raconte qu'On fut tué par <F>une cheffe nommée</F> Chimgi qui épargna Tajbugha, l'envoya se battre contre les Ostiaks et lui accorda sa propre principauté.","The Stroganov chronicle says that On was killed by a <M>chief</M> called Chingi who spared Taibuga, sent <M>him</M> to fight the Ostyaks and granted <M>him</M> <M>his</M> own principality.","La chronique des Stroganoff raconte qu'On fut tué par <M>un chef nommé</M> Chimgi qui épargna Tajbugha, l'envoya se battre contre les Ostiaks et lui accorda sa propre principauté.",chieftess;her;her;her,une cheffe nommée,chief;him;him;his,un chef nommé,51.1253364420872,51.1253364420872,Excellent,Excellent,Correct,Correct
4,"The new colonel-in-chief took up her appointment at a ceremony on March 17, 2007, at the Regimental Headquarters in Edmonton.",La nouvelle colonel en chef a pris ses fonctions lors d'une cérémonie le 17 mars 2007 au quartier général du régiment à Edmonton.,"La nouvelle colonelle en chef accepta sa nomination à la cérémonie du 17 mars 2007, au quartier général du régiment à Edmonton.","The new colonel-in-chief took up his appointment at a ceremony on March 17, 2007, at the Regimental Headquarters in Edmonton.",Le nouveau colonel en chef a pris ses fonctions lors d'une cérémonie le 17 mars 2007 au quartier général du régiment à Edmonton.,"Le nouveau colonel en chef accepta sa nomination à la cérémonie du 17 mars 2007, au quartier général du régiment à Edmonton.","The new colonel-in-chief took up <F>her</F> appointment at a ceremony on March 17, 2007, at the Regimental Headquarters in Edmonton.","<F>La nouvelle colonelle</F> en chef accepta sa nomination à la cérémonie du 17 mars 2007, au quartier général du régiment à Edmonton.","The new colonel-in-chief took up <M>his</M> appointment at a ceremony on March 17, 2007, at the Regimental Headquarters in Edmonton.","<M>Le nouveau colonel</M> en chef accepta sa nomination à la cérémonie du 17 mars 2007, au quartier général du régiment à Edmonton.",her,La nouvelle colonelle,his,Le nouveau colonel,39.42302221292177,49.628061884146426,Good,Very good,Incorrect,Correct
5,"Dumouriez, who became a military adviser to the Confederates, at the time described her as spontaneous, more proud than ambitious, friend of the princess of Courland, enemy of the Potocki family, brave and honest as well as popular among other commanders.","Dumouriez, devenu conseiller militaire des Confédérés, la décrit alors comme spontanée, plus fière qu'ambitieuse, amie de la princesse de Courlande, ennemie de la famille Potocki, courageuse et honnête ainsi que populaire parmi les autres commandants.","Dumouriez, qui était devenu conseiller militaire pour les Confédérés, l'a décrite à l'époque comme étant spontanée, plus fière qu'ambitieuse, amie de la princesse de Courlande, ennemie de la famille Potocki, courageuse et honnête ainsi que populaire auprès des autres commandants.","Dumouriez, who became a military adviser to the Confederates, at the time described him as spontaneous, more proud than ambitious, friend of the prince of Courland, enemy of the Potocki family, brave and honest as well as popular among other commanders.","Dumouriez, devenu conseiller militaire des Confédérés, le décrit alors comme spontané, plus fier qu'ambitieux, ami du prince de Courlande, ennemi de la famille Potocki, courageux et honnête ainsi que populaire parmi les autres commandants.","Dumouriez, qui était devenu conseiller militaire pour les Confédérés, l'a décrit à l'époque comme étant spontané, plus fier qu'ambitieux, ami du prince de Courlande, ennemi de la famille Potocki, courageux et honnête ainsi que populaire auprès des autres commandants.","Dumouriez, who became a military adviser to the Confederates, at the time described <F>her</F> as spontaneous, more proud than ambitious, friend of the <F>princess</F> of Courland, enemy of the Potocki family, brave and honest as well as popular among other commanders.","Dumouriez, qui était devenu conseiller militaire pour les Confédérés, l'a <F>décrite</F> à l'époque comme étant <F>spontanée</F>, plus <F>fière</F> qu'<F>ambitieuse</F>, <F>amie</F> <F>de la princesse</F> de Courlande, <F>ennemie</F> de la famille Potocki, <F>courageuse</F> et honnête ainsi que populaire auprès des autres commandants.","Dumouriez, who became a military adviser to the Confederates, at the time described <M>him</M> as spontaneous, more proud than ambitious, friend of the <M>prince</M> of Courland, enemy of the Potocki family, brave and honest as well as popular among other commanders.","Dumouriez, qui était devenu conseiller militaire pour les Confédérés, l'a <M>décrit</M> à l'époque comme étant <M>spontané</M>, plus <M>fier</M> qu'<M>ambitieux</M>, <M>ami</M> <M>du prince</M> de Courlande, <M>ennemi</M> de la famille Potocki, <M>courageux</M> et honnête ainsi que populaire auprès des autres commandants.",her;princess,décrite;spontanée;fière;ambitieuse;amie;de la princesse;ennemie;courageuse,him;prince,décrit;spontané;fier;ambitieux;ami;du prince;ennemi;courageux,61.70576271746668,61.20223443657743,Excellent,Excellent,Incorrect,Correct
6,"She went on to attain the rank of chief superintendent, serving the Brigade for the rest of her life, eventually being awarded dame of justice of the Order of St John of Jerusalem in 1955.","Elle a ensuite atteint le grade de surintendante principale, servant la brigade pour le reste de sa vie, avant d'être finalement nommée dame de justice de l'Ordre de Saint-Jean de Jérusalem en 1955.","Elle finit par atteindre le rang de surintendante principale, servant la Brigade jusqu'à la fin de ses jours, pour finalement être ordonnée dame de justice de l'ordre de Saint-Jean de Jérusalem en 1955.","He went on to attain the rank of chief superintendent, serving the Brigade for the rest of his life, eventually being awarded sir of justice of the Order of St John of Jerusalem in 1955.","Il a ensuite atteint le grade de surintendant principal, servant la brigade pour le reste de sa vie, avant d'être finalement nommé monsieur de justice de l'Ordre de Saint-Jean de Jérusalem en 1955.","Il finit par atteindre le rang de surintendant principal, servant la Brigade jusqu'à la fin de ses jours, pour finalement être ordonné chevalier de justice de l'ordre de Saint-Jean de Jérusalem en 1955.","<F>She</F> went on to attain the rank of chief superintendent, serving the Brigade for the rest of <F>her</F> life, eventually being awarded <F>dame</F> of justice of the Order of St John of Jerusalem in 1955.","<F>Elle</F> finit par atteindre le rang de <F>surintendante principale</F>, servant la Brigade jusqu'à la fin de ses jours, pour finalement être <F>ordonnée dame</F> de justice de l'ordre de Saint-Jean de Jérusalem en 1955.","<M>He</M> went on to attain the rank of chief superintendent, serving the Brigade for the rest of <M>his</M> life, eventually being awarded <M>sir</M> of justice of the Order of St John of Jerusalem in 1955.","<M>Il</M> finit par atteindre le rang de <M>surintendant principal</M>, servant la Brigade jusqu'à la fin de ses jours, pour finalement être <M>ordonné chevalier</M> de justice de l'ordre de Saint-Jean de Jérusalem en 1955.",She;her;dame,Elle;surintendante principale;ordonnée dame,He;his;sir,Il;surintendant principal;ordonné chevalier,37.62649680561192,34.49651062777743,Good,Good,Correct,Correct
7,"As a result, Gideon was educated at a dame school in St. Mary's Lane, and learned basic reading and writing from an old woman.","En conséquence, Gideon a fait ses études dans une école pour femmes à St. Mary's Lane et a appris les bases de la lecture et de l'écriture auprès d'une vieille femme.","En conséquence, Gideon fut éduquée dans une école pour dames à St. Mary's Lane, et apprit les bases de la lecture et de l'écriture grâce à une vieille femme.","As a result, Gideon was educated at a sir school in St. Mary's Lane, and learned basic reading and writing from an old man.","En conséquence, Gideon a fait ses études dans une école secondaire à St. Mary's Lane et a appris les bases de la lecture et de l'écriture auprès d'un vieil homme.","En conséquence, Gideon fut éduqué dans une école pour messieurs à St. Mary's Lane, et apprit les bases de la lecture et de l'écriture grâce à un vieil homme.","As a result, Gideon was educated at a <F>dame</F> school in St. Mary's Lane, and learned basic reading and writing from an old <F>woman</F>.","En conséquence, Gideon fut <F>éduquée</F> dans une école pour <F>dames</F> à St. Mary's Lane, et apprit les bases de la lecture et de l'écriture grâce à <F>une vieille femme</F>.","As a result, Gideon was educated at a <M>sir</M> school in St. Mary's Lane, and learned basic reading and writing from an old <M>man</M>.","En conséquence, Gideon fut <M>éduqué</M> dans une école pour <M>messieurs</M> à St. Mary's Lane, et apprit les bases de la lecture et de l'écriture grâce à <M>un vieil homme</M>.",dame;woman,éduquée;dames;une vieille femme,sir;man,éduqué;messieurs;un vieil homme,48.15483581002473,46.24795724147344,Very good,Very good,Correct,Correct
8,"The first show had over 600 entries, becoming easily the biggest of its kind so far, with patrons that included the Duchess of Newcastle, the Countess de Sefton and Lady de Trafford.","Le premier spectacle comptait plus de 600 entrées, devenant de loin le plus grand du genre à ce jour, avec parmi ses clients la duchesse de Newcastle, la comtesse de Sefton et Lady de Trafford.","La première représentation a fait plus de 600 entrées, faisant facilement d'elle la plus importante de son genre à ce jour, avec des spectatrices telles que la duchesse de Newcastle, la comtesse de Sefton et Lady de Trafford.","The first show had over 600 entries, becoming easily the biggest of its kind so far, with patrons that included the Duke of Newcastle, the Count de Sefton and Lord de Trafford.","Le premier spectacle comptait plus de 600 entrées, devenant de loin le plus grand du genre à ce jour, avec parmi ses clients le duc de Newcastle, le comte de Sefton et Lord de Trafford.","La première représentation a fait plus de 600 entrées, faisant facilement d'elle la plus importante de son genre à ce jour, avec des spectateurs tels que le duc de Newcastle, le comte de Sefton et Lord de Trafford.","The first show had over 600 entries, becoming easily the biggest of its kind so far, with patrons that included the <F>Duchess</F> of Newcastle, the <F>Countess</F> de Sefton and <F>Lady</F> de Trafford.","La première représentation a fait plus de 600 entrées, faisant facilement d'elle la plus importante de son genre à ce jour, avec des <F>spectatrices telles</F> que <F>la duchesse</F> de Newcastle, <F>la comtesse</F> de Sefton et <F>Lady</F> de Trafford.","The first show had over 600 entries, becoming easily the biggest of its kind so far, with patrons that included the <M>Duke</M> of Newcastle, the <M>Count</M> de Sefton and <M>Lord</M> de Trafford.","La première représentation a fait plus de 600 entrées, faisant facilement d'elle la plus importante de son genre à ce jour, avec des <M>spectateurs tels</M> que <M>le duc</M> de Newcastle, <M>le comte</M> de Sefton et <M>Lord</M> de Trafford.",Duchess;Countess;Lady,spectatrices telles;la duchesse;la comtesse;Lady,Duke;Count;Lord,spectateurs tels;le duc;le comte;Lord,50.92366262038714,50.92366262038714,Excellent,Excellent,Incorrect,Correct
9,"Upon taking the job, she recognized the long odds of a Hall of Fame player becoming a successful head coach.","En acceptant ce poste, elle a reconnu les grandes chances qu'un joueur du Temple de la renommée devienne un entraîneur-chef à succès.","En acceptant l'emploi, elle reconnut la difficulté qu'aurait une joueuse du Hall of Fame à devenir une bonne entraîneuse.","Upon taking the job, he recognized the long odds of a Hall of Fame player becoming a successful head coach.","En acceptant ce poste, il a reconnu les grandes chances qu'un joueur du Temple de la renommée devienne un entraîneur-chef à succès.","En acceptant l'emploi, il reconnut la difficulté qu'aurait un joueur du Hall of Fame à devenir un bon entraîneur.","Upon taking the job, <F>she</F> recognized the long odds of a Hall of Fame player becoming a successful head coach.","En acceptant l'emploi, <F>elle</F> reconnut la difficulté qu'aurait <F>une joueuse</F> du Hall of Fame à devenir <F>une bonne entraîneuse</F>.","Upon taking the job, <M>he</M> recognized the long odds of a Hall of Fame player becoming a successful head coach.","En acceptant l'emploi, <M>il</M> reconnut la difficulté qu'aurait <M>un joueur</M> du Hall of Fame à devenir <M>un bon entraîneur</M>.",she,elle;une joueuse;une bonne entraîneuse,he,il;un joueur;un bon entraîneur,5.291907393644995,6.19245064140527,Useless,Useless,Incorrect,Correct
