orig_id,source_feminine,translate_feminine,reference_feminine,source_masculine,translate_masculine,reference_masculine,source_feminine_annotated,reference_feminine_annotated,source_masculine_annotated,reference_masculine_annotated,source_feminine_keywords,reference_feminine_keywords,source_masculine_keywords,reference_masculine_keywords,scores_f_bleu,scores_m_bleu,f_quality_bins,m_quality_bins,decision_f,decision_m
0,The priestess is generally accompanied by female dancers.,पुजारिन के साथ आम तौर पर महिला नर्तकियाँ होती हैं।,पुजारन आमतौर पर नर्तकियों के साथ होती है।,The priest is generally accompanied by male dancers.,पुजारी के साथ आम तौर पर पुरुष नर्तक होते हैं।,पुजारी आमतौर पर नर्तकों के साथ होता है।,The <F>priestess</F> is generally accompanied by <F>female</F> dancers.,<F>पुजारन</F> आमतौर पर <F>नर्तकियों</F> के साथ <F>होती</F> है।,The <M>priest</M> is generally accompanied by <M>male</M> dancers.,<M>पुजारी</M> आमतौर पर <M>नर्तकों</M> के साथ <M>होता</M> है।,priestess;female,पुजारन;नर्तकियों;होती,priest;male,पुजारी;नर्तकों;होता,9.980099403873664,9.980099403873664,Useless,Useless,Correct,Correct
1,"At home, Mrs. Nichols was a member of the Harmonic Society, so the couple was involved in choral music of the English variety.","घर पर, श्रीमती निकोल्स हार्मोनिक सोसाइटी की सदस्य थीं, इसलिए यह जोड़ा अंग्रेजी किस्म के कोरल संगीत में शामिल था।","अपने देश में श्रीमती निकोल्स हार्मोनिक सोसाइटी की सदस्या थीं, इसलिए पति-पत्नी अंग्रेजी किस्म के कोरल संगीत में शामिल थे।","At home, Mr. Nichols was a member of the Harmonic Society, so the couple was involved in choral music of the English variety.","घर पर, मिस्टर निकोल्स हार्मोनिक सोसाइटी के सदस्य थे, इसलिए यह जोड़ा अंग्रेजी किस्म के कोरल संगीत में शामिल था।","अपने देश में श्री निकोल्स हार्मोनिक सोसाइटी के सदस्य थे, इसलिए पति-पत्नी अंग्रेजी किस्म के कोरल संगीत में शामिल थे।","At home, <F>Mrs.</F> Nichols was a member of the Harmonic Society, so the couple was involved in choral music of the English variety.","अपने देश में <F>श्रीमती</F> निकोल्स हार्मोनिक सोसाइटी <F>की सदस्या थीं</F>, इसलिए पति-पत्नी अंग्रेजी किस्म के कोरल संगीत में शामिल थे।","At home, <M>Mr.</M> Nichols was a member of the Harmonic Society, so the couple was involved in choral music of the English variety.","अपने देश में <M>श्री</M> निकोल्स हार्मोनिक सोसाइटी <M>के सदस्य थे</M>, इसलिए पति-पत्नी अंग्रेजी किस्म के कोरल संगीत में शामिल थे।",Mrs.,श्रीमती;की सदस्या थीं,Mr.,श्री;के सदस्य थे,48.50764306036739,57.58522372341496,Very good,Excellent,Incorrect,Correct
2,Three years after her death (1966) she was honored by a monument placed in the Amusement Park of Montjuic.,उनकी मृत्यु के तीन साल बाद (1966) उन्हें मोंटजुइक के मनोरंजन पार्क में एक स्मारक द्वारा सम्मानित किया गया।,उनकी मृत्यु के तीन साल बाद (1966) मोंटविक के एम्यूज़मेंट पार्क में बनाए स्मारक से उन्हें सम्मानित किया गया।,Three years after his death (1966) he was honored by a monument placed in the Amusement Park of Montjuic.,उनकी मृत्यु के तीन साल बाद (1966) उन्हें मोंटजुइक के मनोरंजन पार्क में एक स्मारक द्वारा सम्मानित किया गया।,उनके मृत्यु के तीन साल बाद (1966) मोंटविक के एम्यूज़मेंट पार्क में बनाए स्मारक से उन्हें सम्मानित किया गया।,Three years after <F>her</F> death (1966) <F>she</F> was honored by a monument placed in the Amusement Park of Montjuic.,<F>उनकी</F> मृत्यु के तीन साल बाद (1966) मोंटविक के एम्यूज़मेंट पार्क में बनाए स्मारक से उन्हें सम्मानित किया गया।,Three years after <M>his</M> death (1966) <M>he</M> was honored by a monument placed in the Amusement Park of Montjuic.,<M>उनके</M> मृत्यु के तीन साल बाद (1966) मोंटविक के एम्यूज़मेंट पार्क में बनाए स्मारक से उन्हें सम्मानित किया गया।,her;she,उनकी,his;he,उनके,49.99791131440528,44.43530419831706,Very good,Very good,Correct,Incorrect
3,She spoke on behalf of the Federale Raad van Suid Afrikaanse Onderwysersverenigings (Federal Board of South African Teachers’ Associations) of which she was a delegate.,"उन्होंने फ़ेडरेल राड वैन सुइड अफ़्रीकांस ओन्डरविसर्सवेरेनिगिंग्स (फ़ेडरल बोर्ड ऑफ़ साउथ अफ्रीकन टीचर्स एसोसिएशन) की ओर से बात की, जिसकी वह एक प्रतिनिधि थीं।",उन्होंने फ़ेडरल राड वैन सुइड अफ्रीकांस ओन्डरवाइसर्सवेरेनिगिंग (दक्षिण अफ़्रीकी शिक्षक संघों के संघीय बोर्ड) की ओर से बात की जिसकी वे एक प्रतिनिधि थीं।,He spoke on behalf of the Federale Raad van Suid Afrikaanse Onderwysersverenigings (Federal Board of South African Teachers’ Associations) of which he was a delegate.,"उन्होंने फ़ेडरेल राड वैन सुइड अफ़्रीकांस ओन्डरविसर्सवेरेनिगिंग्स (फ़ेडरल बोर्ड ऑफ़ साउथ अफ्रीकन टीचर्स एसोसिएशन) की ओर से बात की, जिसके वे एक प्रतिनिधि थे।",उन्होंने फ़ेडरल राड वैन सुइड अफ़्रीकंस ओन्डरवाइसर्सवेरेनिगिंग (दक्षिण अफ़्रीकी शिक्षक संघों के संघीय बोर्ड) की ओर से बात की जिसके वे एक प्रतिनिधि थे।,<F>She</F> spoke on behalf of the Federale Raad van Suid Afrikaanse Onderwysersverenigings (Federal Board of South African Teachers’ Associations) of which <F>she</F> was a delegate.,उन्होंने फ़ेडरल राड वैन सुइड <F>अफ्रीकांस</F> ओन्डरवाइसर्सवेरेनिगिंग (दक्षिण अफ़्रीकी शिक्षक संघों के संघीय बोर्ड) की ओर से बात की <F>जिसकी</F> वे एक प्रतिनिधि <F>थीं</F>।,<M>He</M> spoke on behalf of the Federale Raad van Suid Afrikaanse Onderwysersverenigings (Federal Board of South African Teachers’ Associations) of which <M>he</M> was a delegate.,उन्होंने फ़ेडरल राड वैन सुइड <M>अफ़्रीकंस</M> ओन्डरवाइसर्सवेरेनिगिंग (दक्षिण अफ़्रीकी शिक्षक संघों के संघीय बोर्ड) की ओर से बात की <M>जिसके</M> वे एक प्रतिनिधि <M>थे</M>।,She;she,अफ्रीकांस;जिसकी;थीं,He;he,अफ़्रीकंस;जिसके;थे,28.008294138571458,36.50508036262196,Fair,Good,Correct,Correct
4,"The two teenagers, too young to become Red Cross nurses like their mother and elder sisters, played games of checkers and billiards with the soldiers and tried to lift their spirits.","दोनों किशोरियां, जो अपनी मां और बड़ी बहनों की तरह रेड क्रॉस नर्स बनने के लिए बहुत छोटी थीं, उन्होंने सैनिकों के साथ चेकर्स और बिलियर्ड्स के खेल खेले और उनका उत्साह बढ़ाने की कोशिश की।","वे दो किशोरियां, जो अपनी मां और बड़ी बहनों की तरह रेड क्रॉस नर्स बनने के लिए बहुत छोटी थीं, सैनिकों के साथ चेकर्स और बिलियर्ड्स का खेल खेला करती और उन्हें खुश करने की कोशिश करती थीं।","The two teenagers, too young to become Red Cross nurses like their father and elder brothers, played games of checkers and billiards with the soldiers and tried to lift their spirits.","दोनों किशोर, जो अपने पिता और बड़े भाइयों की तरह रेड क्रॉस नर्स बनने के लिए बहुत छोटे थे, उन्होंने सैनिकों के साथ चेकर्स और बिलियर्ड्स के खेल खेले और उनका उत्साह बढ़ाने की कोशिश की।","वे दो किशोर, जो अपने पिता और बड़े भाइयों की तरह रेड क्रॉस नर्स बनने के लिए बहुत छोटे थे, सैनिकों के साथ चेकर्स और बिलियर्ड्स का खेल खेला करते और उन्हें खुश करने की कोशिश करते थे।","The two teenagers, too young to become Red Cross nurses like their <F>mother</F> and elder <F>sisters</F>, played games of checkers and billiards with the soldiers and tried to lift their spirits.","वे दो <F>किशोरियां</F>, जो <F>अपनी मां</F> और <F>बड़ी बहनों</F> की तरह रेड क्रॉस नर्स बनने के लिए बहुत <F>छोटी थीं</F>, सैनिकों के साथ चेकर्स और बिलियर्ड्स का खेल खेला <F>करती</F> और उन्हें खुश करने की कोशिश <F>करती थीं</F>।","The two teenagers, too young to become Red Cross nurses like their <M>father</M> and elder <M>brothers</M>, played games of checkers and billiards with the soldiers and tried to lift their spirits.","वे दो <M>किशोर</M>, जो <M>अपने पिता</M> और <M>बड़े भाइयों</M> की तरह रेड क्रॉस नर्स बनने के लिए बहुत <M>छोटे थे</M>, सैनिकों के साथ चेकर्स और बिलियर्ड्स का खेल खेला <M>करते</M> और उन्हें खुश करने की कोशिश <M>करते थे</M>।",mother;sisters,किशोरियां;अपनी मां;बड़ी बहनों;छोटी थीं;करती;करती थीं,father;brothers,किशोर;अपने पिता;बड़े भाइयों;छोटे थे;करते;करते थे,62.327816711933366,62.327816711933366,Excellent,Excellent,Correct,Correct
5,"The Confucian concept of moral transformation, a process where a small person can transcend herself into a lady and to a sage, rests on the principle that we are able to know our motives and will that allow for such transformation.","नैतिक परिवर्तन की कन्फ्यूशियस अवधारणा, एक ऐसी प्रक्रिया जहां एक छोटा व्यक्ति खुद को एक महिला और एक ऋषि में स्थानांतरित कर सकता है, इस सिद्धांत पर आधारित है कि हम अपने उद्देश्यों और इच्छाशक्ति को जानने में सक्षम हैं जो इस तरह के परिवर्तन की अनुमति देते हैं।","नैतिक परिवर्तन की कन्फ्यूशियस की अवधारणा एक ऐसी प्रक्रिया जिसमें एक छोटी औरत एक भद्र महिला और श्रृषि के रूप में स्वयं को पार ले जा सकती है, इस सिद्धांत पर टिकी हुई है कि हमें अपने इरादे पता होते हैं और इसी कारण ऐसे बदलाव की संभावना बनती है।","The Confucian concept of moral transformation, a process where a small person can transcend himself into a gentlemen and to a sage, rests on the principle that we are able to know our motives and will that allow for such transformation.","नैतिक परिवर्तन की कन्फ्यूशियस अवधारणा, एक ऐसी प्रक्रिया जहां एक छोटा व्यक्ति खुद को एक सज्जन और एक ऋषि में बदल सकता है, इस सिद्धांत पर आधारित है कि हम अपने उद्देश्यों और इच्छाशक्ति को जानने में सक्षम हैं जो इस तरह के परिवर्तन की अनुमति देते हैं।","नैतिक परिवर्तन की कन्फ्यूशियस की अवधारणा एक ऐसी प्रक्रिया जिसमें एक छोटा व्यक्ति एक सज्जन और श्रृषि के रूप में स्वयं को पार कर सकता है, इस सिद्धांत पर टिकी हुई है कि हमें अपने इरादे पता होते हैं और इसी कारण ऐसे बदलाव की संभावना बनती है।","The Confucian concept of moral transformation, a process where a small person can transcend <F>herself</F> into a <F>lady</F> and to a sage, rests on the principle that we are able to know our motives and will that allow for such transformation.","नैतिक परिवर्तन की कन्फ्यूशियस की अवधारणा एक ऐसी प्रक्रिया जिसमें एक<F> छोटी औरत</F> एक भद्र<F> महिला</F> और श्रृषि के रूप में स्वयं को पार ले जा <F>सकती</F> है, इस सिद्धांत पर टिकी हुई है कि हमें अपने इरादे पता होते हैं और इसी कारण ऐसे बदलाव की संभावना बनती है।","The Confucian concept of moral transformation, a process where a small person can transcend <M>himself</M> into a <M>gentlemen</M> and to a sage, rests on the principle that we are able to know our motives and will that allow for such transformation.","नैतिक परिवर्तन की कन्फ्यूशियस की अवधारणा एक ऐसी प्रक्रिया जिसमें एक छोटा व्यक्ति एक <M>सज्जन</M> और श्रृषि के रूप में स्वयं को पार कर<M> सकता</M> है, इस सिद्धांत पर टिकी हुई है कि हमें अपने इरादे पता होते हैं और इसी कारण ऐसे बदलाव की संभावना बनती है।",herself;lady,छोटी औरत; महिला;सकती,himself;gentlemen,सज्जन; सकता,17.116511653150656,23.071277586211952,Poor,Fair,Incorrect,Correct
6,"From 1984, she was a president of the board of Tipstjänst and Operakällaren; she was also chairwoman and president of AIK between 1967 and 1980.","1984 से, वह टिपस्टजैनस्ट और ओपेराकैलारेन के बोर्ड की अध्यक्ष थीं; वह 1967 और 1980 के बीच एआईके की अध्यक्ष और अध्यक्ष भी रहीं।","1984 से, वह टिप्सजांस्ट और ओपराकलारेन के बोर्ड की अध्यक्षा थीं, वह 1967 और 1980 के बीच एआईके की अध्यक्षा और चेयरवुमन भी रहीं।","From 1984, he was a president of the board of Tipstjänst and Operakällaren; he was also chairman and president of AIK between 1967 and 1980.","1984 से, वह टिपस्टजैनस्ट और ऑपेराकलारेन के बोर्ड के अध्यक्ष थे; वह 1967 और 1980 के बीच एआईके के अध्यक्ष और अध्यक्ष भी रहे।","1984 से, वह टिप्सजांस्ट और ओपराकलारेन के बोर्ड के अध्यक्ष थे, वह 1967 और 1980 के बीच एआईके के अध्यक्ष और चेयरमैन भी रहे|","From 1984, <F>she</F> was a president of the board of Tipstjänst and Operakällaren; <F>she</F> was also <F>chairwoman</F> and president of AIK between 1967 and 1980.","1984 से, वह टिप्सजांस्ट और ओपराकलारेन के बोर्ड <F>की अध्यक्षा</F><F> थीं</F>, वह 1967 और 1980 के बीच एआईके <F>की अध्यक्षा</F> और <F>चेयरवुमन</F> भी <F>रहीं</F>।","From 1984, <M>he</M> was a president of the board of Tipstjänst and Operakällaren; <M>he</M> was also <M>chairman</M> and president of AIK between 1967 and 1980.","1984 से, वह टिप्सजांस्ट और ओपराकलारेन के बोर्ड <M>के अध्यक्ष</M> <M>थे</M>, वह 1967 और 1980 के बीच एआईके <M>के अध्यक्ष</M> और <M>चेयरमैन</M> भी <M>रहे</M>|",she;she;chairwoman,की अध्यक्षा; थीं;की अध्यक्षा;चेयरवुमन;रहीं,he;he;chairman,के अध्यक्ष;थे;के अध्यक्ष;चेयरमैन;रहे,44.47630178181815,56.83997979967327,Very good,Excellent,Incorrect,Correct
7,"She wandered with Kellner from place to place, proclaiming her mission, working miracles, persuading her converts to sell all and follow her.","वह केल्नर के साथ एक स्थान से दूसरे स्थान पर घूमती रही, अपने मिशन की घोषणा करती रही, चमत्कार करती रही, अपने धर्मान्तरित लोगों को सब कुछ बेचने और अपने पीछे चलने के लिए प्रेरित करती रही।","वह केल्नर के साथ जगह-जगह भटकती रहीं, अपने मिशन की घोषणा करती रहीं, चमत्कार करती रहीं, अपने धर्मान्तरित लोगों को सब कुछ बेचने और उसका अनुसरण करने के लिए राजी करती रहीं।","He wandered with Kellner from place to place, proclaiming his mission, working miracles, persuading his converts to sell all and follow him.","वह केल्नर के साथ एक स्थान से दूसरे स्थान पर घूमते रहे, अपने मिशन की घोषणा करते रहे, चमत्कार करते रहे, अपने धर्मान्तरित लोगों को सब कुछ बेचने और उनका अनुसरण करने के लिए प्रेरित करते रहे।","वह केल्नर के साथ जगह-जगह भटकते रहे, अपने मिशन की घोषणा करते रहे, चमत्कार करते रहे, अपने धर्मान्तरित लोगों को सब कुछ बेचने और उसका अनुसरण करने के लिए राजी करते रहे।","<F>She</F> wandered with Kellner from place to place, proclaiming <F>her</F> mission, working miracles, persuading <F>her</F> converts to sell all and follow <F>her</F>.","वह केल्नर के साथ जगह-जगह <F>भटकती रहीं</F>, अपने मिशन की घोषणा <F>करती रहीं</F>, चमत्कार <F>करती रहीं</F>, अपने धर्मान्तरित लोगों को सब कुछ बेचने और उसका अनुसरण करने के लिए राजी <F>करती रहीं</F>।","<M>He</M> wandered with Kellner from place to place, proclaiming <M>his</M> mission, working miracles, persuading <M>his</M> converts to sell all and follow <M>him</M>.","वह केल्नर के साथ जगह-जगह <M>भटकते रहे</M>, अपने मिशन की घोषणा <M>करते रहे</M>, चमत्कार <M>करते रहे</M>, अपने धर्मान्तरित लोगों को सब कुछ बेचने और उसका अनुसरण करने के लिए राजी <M>करते रहे</M>।",She;her;her;her,भटकती रहीं;करती रहीं;करती रहीं;करती रहीं,He;his;his;him,भटकते रहे;करते रहे;करते रहे;करते रहे,41.72803476742281,64.7281720681054,Very good,Excellent,Correct,Correct
8,The seventh Countess was a politician and served as Lady Chamberlain of the Household for many years.,सातवीं काउंटेस एक राजनीतिज्ञ थीं और उन्होंने कई वर्षों तक घरेलू महिला चेम्बरलेन के रूप में कार्य किया।,सातवीं काउंटेस राजनीतीज्ञ थीं और उन्होंने अनेक वर्षों तक लेडी चैम्बरलेन ऑफ़ द हाउसहोल्ड का पदभार संभाला।,The seventh Earl was a politician and served as Lord Chamberlain of the Household for many years.,सातवें अर्ल एक राजनीतिज्ञ थे और उन्होंने कई वर्षों तक घर के लॉर्ड चेम्बरलेन के रूप में कार्य किया।,सातवें अर्ल राजनीतीज्ञ थे और उन्होंने अनेक वर्षों तक लॉर्ड चैम्बरलेन ऑफ़ द हाउसहोल्ड का पदभार संभाला।,The seventh <F>Countess</F> was a politician and served as <F>Lady Chamberlain of the Household</F> for many years.,<F>सातवीं काउंटेस</F> राजनीतीज्ञ<F> थीं</F> और उन्होंने अनेक वर्षों तक <F>लेडी</F> चैम्बरलेन ऑफ़ द हाउसहोल्ड का पदभार संभाला।,The seventh <M>Earl</M> was a politician and served as <M>Lord Chamberlain of the Household</M> for many years.,<M>सातवें अर्ल</M> राजनीतीज्ञ <M>थे</M> और उन्होंने अनेक वर्षों तक <M>लॉर्ड</M> चैम्बरलेन ऑफ़ द हाउसहोल्ड का पदभार संभाला।,Countess;Lady Chamberlain of the Household,सातवीं काउंटेस; थीं;लेडी,Earl;Lord Chamberlain of the Household,सातवें अर्ल;थे;लॉर्ड,11.750296943620288,11.451997463067553,Poor,Poor,Correct,Correct
9,"She also edited Laughing, Not Laughing: Women Writing on 'My Experience of Sex', an anthology of Welsh women writing frankly about their sexual experiences, which won the publications category of the 2004 Erotic Awards.","उन्होंने लाफिंग, नॉट लाफिंग: वीमेन राइटिंग ऑन 'माई एक्सपीरियंस ऑफ सेक्स' का संपादन भी किया, जो अपने यौन अनुभवों के बारे में खुलकर लिखने वाली वेल्श महिलाओं का एक संकलन है, जिसने 2004 के कामुक पुरस्कारों की प्रकाशन श्रेणी जीती।","उन्होंने लाफिंग,नॉट लाफिंग:वीमेन रायटिंग ऑन 'माय एक्सपीरियन्स ऑफ़ सेक्स', वेल्श महिलाओं का अपने काम अनुभवों के बारे में बिना हिचकिचाहट लिखे गए लेखों के संकलन का भी संपादन किया, जो 2004 एरोटिक अवार्ड्स में प्रकाशनों की श्रेणी में जीत गया।","He also edited Laughing, Not Laughing: Women Writing on 'My Experience of Sex', an anthology of Welsh men writing frankly about their sexual experiences, which won the publications category of the 2004 Erotic Awards.","उन्होंने लाफ़िंग, नॉट लाफ़िंग: वीमेन राइटिंग ऑन 'माई एक्सपीरियंस ऑफ़ सेक्स' का संपादन भी किया, जो वेल्श पुरुषों द्वारा अपने यौन अनुभवों के बारे में खुलकर लिखने का एक संकलन है, जिसने 2004 के कामुक पुरस्कारों की प्रकाशन श्रेणी जीती।","उन्होंने लाफिंग,नॉट लाफिंग:वीमेन रायटिंग ऑन 'माय एक्सपीरियन्स ऑफ़ सेक्स', वेल्श पुरुषों का अपने काम अनुभवों के बारे में बिना हिचकिचाहट लिखे गए लेखों के संकलन का भी संपादन किया, जो 2004 एरोटिक अवार्ड्स में प्रकाशनों की श्रेणी में जीत गया।","<F>She</F> also edited Laughing, Not Laughing: Women Writing on 'My Experience of Sex', an anthology of Welsh <F>women</F> writing frankly about their sexual experiences, which won the publications category of the 2004 Erotic Awards.","उन्होंने लाफिंग,नॉट लाफिंग:वीमेन रायटिंग ऑन 'माय एक्सपीरियन्स ऑफ़ सेक्स', वेल्श <F>महिलाओं</F> का अपने काम अनुभवों के बारे में बिना हिचकिचाहट लिखे गए लेखों के संकलन का भी संपादन किया, जो 2004 एरोटिक अवार्ड्स में प्रकाशनों की श्रेणी में जीत गया।","<M>He</M> also edited Laughing, Not Laughing: Women Writing on 'My Experience of Sex', an anthology of Welsh <M>men</M> writing frankly about their sexual experiences, which won the publications category of the 2004 Erotic Awards.","उन्होंने लाफिंग,नॉट लाफिंग:वीमेन रायटिंग ऑन 'माय एक्सपीरियन्स ऑफ़ सेक्स', वेल्श <M>पुरुषों</M> का अपने काम अनुभवों के बारे में बिना हिचकिचाहट लिखे गए लेखों के संकलन का भी संपादन किया, जो 2004 एरोटिक अवार्ड्स में प्रकाशनों की श्रेणी में जीत गया।",She;women,महिलाओं,He;men,पुरुषों,25.66901701967569,11.347874480751411,Fair,Poor,Correct,Correct
