orig_id,source_feminine,translate_feminine,reference_feminine,source_masculine,translate_masculine,reference_masculine,source_feminine_annotated,reference_feminine_annotated,source_masculine_annotated,reference_masculine_annotated,source_feminine_keywords,reference_feminine_keywords,source_masculine_keywords,reference_masculine_keywords,scores_f_bleu,scores_m_bleu,f_quality_bins,m_quality_bins,decision_f,decision_m
0,"Upon its destruction, the narrator of the game is revealed to be the baroness herself, trapped within the machine and studded with implants.","Após sua destruição, a narradora do jogo revela ser a própria baronesa, presa dentro da máquina e cravejada de implantes.","Após sua destruição, revela-se que a narradora do jogo é a própria baronesa, presa dentro da máquina e cheia de implantes.","Upon its destruction, the narrator of the game is revealed to be the baron himself, trapped within the machine and studded with implants.","Após sua destruição, o narrador do jogo revela ser o próprio barão, preso dentro da máquina e cravejado de implantes.","Após sua destruição, revela-se que o narrador do jogo é o próprio barão, preso dentro da máquina e cheio de implantes.","Upon its destruction, the narrator of the game is revealed to be the <F>baroness</F> <F>herself</F>, trapped within the machine and studded with implants.","Após sua destruição, revela-se que <F>a narradora</F> do jogo é <F>a própria baronesa</F>, <F>presa</F> dentro da máquina e <F>cheia</F> de implantes.","Upon its destruction, the narrator of the game is revealed to be the <M>baron</M> <M>himself</M>, trapped within the machine and studded with implants.","Após sua destruição, revela-se que <M>o narrador</M> do jogo é <M>o próprio barão</M>, <M>preso</M> dentro da máquina e <M>cheio</M> de implantes.",baroness;herself,a narradora;a própria baronesa;presa;cheia,baron;himself,o narrador;o próprio barão;preso;cheio,59.0368235268425,59.0368235268425,Excellent,Excellent,Correct,Correct
1,O'Brien herself was accused of corrupting the minds of young women; she later said: I felt no fame.,A própria O'Brien foi acusada de corromper as mentes de mulheres jovens; ela disse mais tarde: Não senti fama.,"A própria O'Brien foi acusada de corromper a mente das mulheres jovens, e mais tarde disse: Eu não senti a fama.",O'Brien himself was accused of corrupting the minds of young men; he later said: I felt no fame.,O próprio O'Brien foi acusado de corromper as mentes dos jovens; ele disse mais tarde: Não senti fama.,"O próprio O'Brien foi acusado de corromper a mente dos homens jovens, e mais tarde disse: Eu não senti a fama.",O'Brien <F>herself</F> was accused of corrupting the minds of young <F>women</F>; <F>she</F> later said: I felt no fame.,"<F>A própria</F> O'Brien foi <F>acusada</F> de corromper a mente <F>das mulheres</F> jovens, e mais tarde disse: Eu não senti a fama.",O'Brien <M>himself</M> was accused of corrupting the minds of young <M>men</M>; <M>he</M> later said: I felt no fame.,"<M>O próprio</M> O'Brien foi <M>acusado</M> de corromper a mente <M>dos homens</M> jovens, e mais tarde disse: Eu não senti a fama.",herself;women;she,A própria;acusada;das mulheres,himself;men;he,O próprio;acusado;dos homens,32.67837200200974,31.673720013999063,Good,Good,Correct,Correct
2,"The initially selected spot was not liked by the knyaginya, who preferred a location on a hill in the then-outskirts of the city, where a garden could also be arranged and so that the cathedral could be seen from the whole city.","O local inicialmente escolhido não agradou aos knyaginya, que preferiram um local numa colina na então periferia da cidade, onde também pudesse ser montado um jardim e para que a catedral pudesse ser vista de toda a cidade.","O local inicialmente selecionado não foi apreciada pela knyaginya, que preferiu um local em uma colina nos arredores da cidade, aonde um jardim também poderia ser colocado e de modo que a catedral pudesse ser vista por toda a cidade.","The initially selected spot was not liked by the knyaz, who preferred a location on a hill in the then-outskirts of the city, where a garden could also be arranged and so that the cathedral could be seen from the whole city.","O local inicialmente escolhido não agradou aos knyaz, que preferiram um local numa colina na então periferia da cidade, onde também pudesse ser montado um jardim e para que a catedral pudesse ser vista de toda a cidade.","O local inicialmente selecionado não foi apreciado pelo knyaz, que preferiu um local em uma colina nos arredores da cidade, aonde um jardim também poderia ser colocado e de modo que a catedral pudesse ser vista por toda a cidade.","The initially selected spot was not liked by the <F>knyaginya</F>, who preferred a location on a hill in the then-outskirts of the city, where a garden could also be arranged and so that the cathedral could be seen from the whole city.","O local inicialmente selecionado não foi <F>apreciada</F> <F>pela</F> <F>knyaginya</F>, que preferiu um local em uma colina nos arredores da cidade, aonde um jardim também poderia ser colocado e de modo que a catedral pudesse ser vista por toda a cidade.","The initially selected spot was not liked by the <M>knyaz</M>, who preferred a location on a hill in the then-outskirts of the city, where a garden could also be arranged and so that the cathedral could be seen from the whole city.","O local inicialmente selecionado não foi <M>apreciado</M> <M>pelo</M> <M>knyaz</M>, que preferiu um local em uma colina nos arredores da cidade, aonde um jardim também poderia ser colocado e de modo que a catedral pudesse ser vista por toda a cidade.",knyaginya,apreciada;pela;knyaginya,knyaz,apreciado;pelo;knyaz,27.421866407218094,27.421866407218094,Fair,Fair,Correct,Correct
3,"She played the ladies amateur tour in the 1940s before the development of a professional tour, winning three Ohio Amateurs and the 1949 Titleholders Championship and North and South Women'sAmateur.","Ela jogou no tour amador feminino na década de 1940, antes do desenvolvimento de um tour profissional, vencendo três Ohio Amateurs e o Titleholders Championship de 1949 e o North and South Women'sAmateur.","Ela fez a turnê das senhoras amadoras nos anos 40, antes do desenvolvimento de uma turnê profissional, ganhando três Ohio Amateurs, o Campeonato de Titulares de 1949 e o Campeonato de Amadoras do Norte e do Sul de Mulheres.","He played the gentlemen amateur tour in the 1940s before the development of a professional tour, winning three Ohio Amateurs and the 1949 Titleholders Championship and North and South Men'sAmateur.","Ele jogou no tour amador de cavalheiros na década de 1940, antes do desenvolvimento de um tour profissional, vencendo três Ohio Amateurs e o Titleholders Championship de 1949 e o North and South Men'sAmateur.","Ele fez a turnê dos senhores amadores nos anos 40, antes do desenvolvimento de uma turnê profissional, ganhando três Ohio Amateurs, o Campeonato de Titulares de 1949 e o Campeonato de Amadores do Norte e do Sul de Homens.","<F>She</F> played the <F>ladies</F> amateur tour in the 1940s before the development of a professional tour, winning three Ohio Amateurs and the 1949 Titleholders Championship and North and South <F>Women's</F>Amateur.","<F>Ela</F> fez a turnê <F>das senhoras amadoras</F> nos anos 40, antes do desenvolvimento de uma turnê profissional, ganhando três Ohio Amateurs, o Campeonato de Titulares de 1949 e o Campeonato de <F>Amadoras</F> do Norte e do Sul de <F>Mulheres</F>.","<M>He</M> played the <M>gentlemen</M> amateur tour in the 1940s before the development of a professional tour, winning three Ohio Amateurs and the 1949 Titleholders Championship and North and South <M>Men's</M>Amateur.","<M>Ele</M> fez a turnê <M>dos senhores amadores</M> nos anos 40, antes do desenvolvimento de uma turnê profissional, ganhando três Ohio Amateurs, o Campeonato de Titulares de 1949 e o Campeonato de <M>Amadores</M> do Norte e do Sul de <M>Homens</M>.",She;ladies;Women's,Ela;das senhoras amadoras;Amadoras;Mulheres,He;gentlemen;Men's,Ele;dos senhores amadores;Amadores;Homens,18.2586862837908,18.56250982091244,Poor,Poor,Correct,Correct
4,The hypothetical granddaughter of the duchess and heir-to-heir apparent would be styled instead Lady Carnegie.,A hipotética neta da duquesa e aparente herdeira seria denominada Lady Carnegie.,A hipotética neta da duquesa e a aparente herdeira seria nomeada em vez da Senhora Carnegie.,The hypothetical grandson of the duke and heir-to-heir apparent would be styled instead Lord Carnegie.,O hipotético neto do duque e aparente herdeiro seria denominado Lord Carnegie.,O hipotético neto do duque e o aparente herdeiro seria nomeado em vez do Lorde Carnegie.,The hypothetical <F>granddaughter</F> of the <F>duchess</F> and heir-to-heir apparent would be styled instead <F>Lady</F> Carnegie.,<F>A hipotética neta da duquesa</F> e <F>a</F> aparente <F>herdeira</F> seria <F>nomeada</F> em vez <F>da Senhora</F> Carnegie.,The hypothetical <M>grandson</M> of the <M>duke</M> and heir-to-heir apparent would be styled instead <M>Lord</M> Carnegie.,<M>O hipotético neto do duque</M> e <M>o</M> aparente <M>herdeiro</M> seria <M>nomeado</M> em vez <M>do Lorde</M> Carnegie.,granddaughter;duchess;Lady,A hipotética neta da duquesa;a;herdeira;nomeada;da Senhora,grandson;duke;Lord,O hipotético neto do duque;o;herdeiro;nomeado;do Lorde,38.71551944619038,38.71551944619038,Good,Good,Correct,Correct
5,She was a member of Good Templars Commonwealth Lodge of Boston.,Ela era membro da Good Templars Commonwealth Lodge de Boston.,Ela foi membra da Casa Maçônica dos Bons Templários de Boston.,He was a member of Good Templars Commonwealth Lodge of Boston.,Ele era membro da Good Templars Commonwealth Lodge de Boston.,Ele foi membro da Casa Maçônica dos Bons Templários de Boston.,<F>She</F> was a member of Good Templars Commonwealth Lodge of Boston.,<F>Ela</F> foi <F>membra</F> da Casa Maçônica dos Bons Templários de Boston.,<M>He</M> was a member of Good Templars Commonwealth Lodge of Boston.,<M>Ele</M> foi <M>membro</M> da Casa Maçônica dos Bons Templários de Boston.,She,Ela;membra,He,Ele;membro,14.473710747837542,16.76478605134306,Poor,Poor,Incorrect,Correct
6,This comedian was known for her improvisation skills.,Esta comediante era conhecida por suas habilidades de improvisação.,Esta comediante era conhecida por sua capacidade de improvisação.,This comedian was known for his improvisation skills.,Este comediante era conhecido por suas habilidades de improvisação.,Este comediante era conhecido por sua capacidade de improvisação.,This comedian was known for <F>her</F> improvisation skills.,<F>Esta</F> comediante era <F>conhecida</F> por sua capacidade de improvisação.,This comedian was known for <M>his</M> improvisation skills.,<M>Este</M> comediante era <M>conhecido</M> por sua capacidade de improvisação.,her,Esta;conhecida,his,Este;conhecido,52.53819788848316,52.53819788848316,Excellent,Excellent,Correct,Correct
7,"It is not clear if her refusal was for her continual poor health or other reasons, but her spiritual director assured her that God had other plans for her.","Não está claro se a sua recusa foi devido à sua contínua saúde debilitada ou por outras razões, mas o seu diretor espiritual assegurou-lhe que Deus tinha outros planos para ela.","Não está claro se sua recusa foi devida à sua saúde precária ou por outros motivos, mas sua diretora espiritual lhe assegurou que Deus tinha outros planos para ela.","It is not clear if his refusal was for his continual poor health or other reasons, but his spiritual director assured him that God had other plans for him.","Não está claro se a sua recusa foi por causa da sua saúde continuamente debilitada ou por outras razões, mas o seu diretor espiritual assegurou-lhe que Deus tinha outros planos para ele.","Não está claro se sua recusa foi devida à sua saúde precária ou por outros motivos, mas seu diretor espiritual lhe assegurou que Deus tinha outros planos para ele.","It is not clear if <F>her</F> refusal was for <F>her</F> continual poor health or other reasons, but <F>her</F> spiritual director assured <F>her</F> that God had other plans for <F>her</F>.","Não está claro se sua recusa foi devida à sua saúde precária ou por outros motivos, mas <F>sua diretora</F> espiritual lhe assegurou que Deus tinha outros planos para <F>ela</F>.","It is not clear if <M>his</M> refusal was for <M>his</M> continual poor health or other reasons, but <M>his</M> spiritual director assured <M>him</M> that God had other plans for <M>him</M>.","Não está claro se sua recusa foi devida à sua saúde precária ou por outros motivos, mas <M>seu diretor</M> espiritual lhe assegurou que Deus tinha outros planos para <M>ele</M>.",her;her;her;her;her,sua diretora;ela,his;his;his;him;him,seu diretor;ele,37.1121826595596,38.510283972861245,Good,Good,Incorrect,Correct
8,"The film begins with an honest IAS officer trying to unearth a massive criminal operation, where she ends up in a dead end when she meets the Home Minister's daughter and team who want her finished.","O filme começa com uma oficial honesta do IAS tentando desenterrar uma grande operação criminosa, onde ela termina em um beco sem saída ao conhecer a filha do Ministro do Interior e a equipe que querem que ela acabe.","O filme começa com uma oficial honesta da IAS tentando desmascarar uma operação criminosa gigantesca, e ela termina em um beco sem saída quando encontra a filha do Ministro do Interior e sua equipe que querem acabar com ela.","The film begins with an honest IAS officer trying to unearth a massive criminal operation, where he ends up in a dead end when he meets the Home Minister's son and team who want him finished.","O filme começa com um oficial honesto da IAS tentando desenterrar uma grande operação criminosa, onde termina em um beco sem saída ao conhecer o filho do Ministro do Interior e a equipe que querem que ele seja liquidado.","O filme começa com um oficial honesto da IAS tentando desmascarar uma operação criminosa gigantesca, e ele termina em um beco sem saída quando encontra o filho do Ministro do Interior e sua equipe que querem acabar com ele.","The film begins with an honest IAS officer trying to unearth a massive criminal operation, where <F>she</F> ends up in a dead end when <F>she</F> meets the Home Minister's <F>daughter</F> and team who want <F>her</F> finished.","O filme começa com <F>uma</F> oficial <F>honesta</F> da IAS tentando desmascarar uma operação criminosa gigantesca, e <F>ela</F> termina em um beco sem saída quando encontra <F>a filha</F> do Ministro do Interior e sua equipe que querem acabar com <F>ela</F>.","The film begins with an honest IAS officer trying to unearth a massive criminal operation, where <M>he</M> ends up in a dead end when <M>he</M> meets the Home Minister's <M>son</M> and team who want <M>him</M> finished.","O filme começa com <M>um</M> oficial <M>honesto</M> da IAS tentando desmascarar uma operação criminosa gigantesca, e <M>ele</M> termina em um beco sem saída quando encontra <M>o filho</M> do Ministro do Interior e sua equipe que querem acabar com <M>ele</M>.",she;she;daughter;her,uma;honesta;ela;a filha;ela,he;he;son;him,um;honesto;ele;o filho;ele,48.56187637594255,52.55893733706508,Very good,Excellent,Correct,Incorrect
9,"In the 2011 Queen's Birthday Honours, Prendergast was appointed a Companion of the New Zealand Order of Merit, for services to local-body affairs, and in the 2019 New Year Honours, she was promoted to Dame Companion of the New Zealand Order of Merit, for services to governance and the community.","Nas Honras de Aniversário da Rainha de 2011, Prendergast foi nomeada Companheira da Ordem de Mérito da Nova Zelândia, por serviços prestados a assuntos de órgãos locais, e nas Honras de Ano Novo de 2019, ela foi promovida a Dama Companheira da Ordem de Mérito da Nova Zelândia, para serviços à governação e à comunidade.","Nas as Homenagens de Aniversário da Rainha de 2011, Prendergast foi nomeada Companheira da Ordem de Mérito da Nova Zelândia, pelos serviços prestados aos órgãos locais, e nas Homenagens do Ano Novo de 2019, ela foi promovida a Dama Companheira da Ordem de Mérito da Nova Zelândia, pelos serviços prestados à governança e à comunidade.","In the 2011 King's Birthday Honours, Prendergast was appointed a Companion of the New Zealand Order of Merit, for services to local-body affairs, and in the 2019 New Year Honours, he was promoted to Sir Companion of the New Zealand Order of Merit, for services to governance and the community.","Nas honras de aniversário do rei de 2011, Prendergast foi nomeado Companheiro da Ordem de Mérito da Nova Zelândia, por serviços prestados a assuntos locais, e nas honras de Ano Novo de 2019, ele foi promovido a Sir Companheiro da Ordem de Mérito da Nova Zelândia, para serviços à governação e à comunidade.","Nas as Homenagens de Aniversário do Rei de 2011, Prendergast foi nomeado Companheiro da Ordem de Mérito da Nova Zelândia, pelos serviços prestados aos órgãos locais, e nas Homenagens do Ano Novo de 2019, ele foi promovido a Senhor Companheiro da Ordem de Mérito da Nova Zelândia, pelos serviços prestados à governança e à comunidade.","In the 2011 <F>Queen</F>'s Birthday Honours, Prendergast was appointed a Companion of the New Zealand Order of Merit, for services to local-body affairs, and in the 2019 New Year Honours, <F>she</F> was promoted to <F>Dame</F> Companion of the New Zealand Order of Merit, for services to governance and the community.","Nas as Homenagens de Aniversário <F>da Rainha</F> de 2011, Prendergast foi <F>nomeada Companheira</F> da Ordem de Mérito da Nova Zelândia, pelos serviços prestados aos órgãos locais, e nas Homenagens do Ano Novo de 2019, <F>ela</F> foi <F>promovida</F> a <F>Dama Companheira</F> da Ordem de Mérito da Nova Zelândia, pelos serviços prestados à governança e à comunidade.","In the 2011 <M>King</M>'s Birthday Honours, Prendergast was appointed a Companion of the New Zealand Order of Merit, for services to local-body affairs, and in the 2019 New Year Honours, <M>he</M> was promoted to <M>Sir</M> Companion of the New Zealand Order of Merit, for services to governance and the community.","Nas as Homenagens de Aniversário <M>do Rei</M> de 2011, Prendergast foi <M>nomeado Companheiro</M> da Ordem de Mérito da Nova Zelândia, pelos serviços prestados aos órgãos locais, e nas Homenagens do Ano Novo de 2019, <M>ele</M> foi <M>promovido</M> a <M>Senhor Companheiro</M> da Ordem de Mérito da Nova Zelândia, pelos serviços prestados à governança e à comunidade.",Queen;she;Dame,da Rainha;nomeada Companheira;ela;promovida;Dama Companheira,King;he;Sir,do Rei;nomeado Companheiro;ele;promovido;Senhor Companheiro,70.66541197714582,58.16167857633637,Excellent,Excellent,Correct,Correct
