orig_id,source_feminine,translate_feminine,reference_feminine,source_masculine,translate_masculine,reference_masculine,source_feminine_annotated,reference_feminine_annotated,source_masculine_annotated,reference_masculine_annotated,source_feminine_keywords,reference_feminine_keywords,source_masculine_keywords,reference_masculine_keywords,scores_f_bleu,scores_m_bleu,f_quality_bins,m_quality_bins,decision_f,decision_m
0,"It is only appropriate that this particular Shah be so immortalized in this style, as it was under her rule as the second Qajar shahbanu that the style truly flourished.","Вполне уместно, чтобы именно этот шах был увековечен в этом стиле, поскольку именно во время ее правления в качестве второго каджарского шахбану этот стиль по-настоящему процветал.","Вполне уместно, чтобы память об этой шахбану была увековечена в этом стиле, ведь именно при ее правлении как второй шахбану Каджар этот стиль процветал.","It is only appropriate that this particular Shah be so immortalized in this style, as it was under his rule as the second Qajar shah that the style truly flourished.","Вполне уместно, чтобы именно этот шах был увековечен в этом стиле, поскольку именно во время его правления в качестве второго Каджара-шаха этот стиль по-настоящему процветал.","Вполне уместно, чтобы память об этом шахе была увековечена в этом стиле, ведь именно при его правлении как второго шаха Каджар этот стиль процветал.","It is only appropriate that this particular Shah be so immortalized in this style, as it was under <F>her</F> rule as the second Qajar <F>shahbanu</F> that the style truly flourished.","Вполне уместно, чтобы память об <F>этой шахбану</F> была увековечена в этом стиле, ведь именно при <F>ее</F> правлении как <F>второй шахбану</F> Каджар этот стиль процветал.","It is only appropriate that this particular Shah be so immortalized in this style, as it was under <M>his</M> rule as the second Qajar <M>shah</M> that the style truly flourished.","Вполне уместно, чтобы память об <M>этом шахе</M> была увековечена в этом стиле, ведь именно при <M>его</M> правлении как <M>второго шаха</M> Каджар этот стиль процветал.",her;shahbanu,этой шахбану;ее;второй шахбану,his;shah,этом шахе;его;второго шаха,20.257904661864373,21.02369368326756,Fair,Fair,Incorrect,Correct
1,"Then, in the forefront of Lieutenant General Baroness Saken, Melissino participated in the battles of the Gornostaevichi and Vawkavysk.",Затем в первых рядах генерал-лейтенанта баронессы Сакена Мелиссино участвовал в боях под Горностаевичами и Волковыском.,"Затем, в составе авангарда генерал-лейтенанта баронессы Сакен, Мелиссино участвовал в сражениях при Горностаевичах и Вавкавыске.","Then, in the forefront of Lieutenant General Baron Saken, Melissino participated in the battles of the Gornostaevichi and Vawkavysk.",Затем в первых рядах генерал-лейтенанта барона Сакена Мелиссино участвовал в боях под Горностаевичами и Волковыском.,"Затем, в составе авангарда генерал-лейтенанта барона Сакена, Мелиссино участвовал в сражениях при Горностаевичах и Вавкавыске.","Then, in the forefront of Lieutenant General <F>Baroness</F> Saken, Melissino participated in the battles of the Gornostaevichi and Vawkavysk.","Затем, в составе авангарда генерал-лейтенанта <F>баронессы Сакен</F>, Мелиссино участвовал в сражениях при Горностаевичах и Вавкавыске.","Then, in the forefront of Lieutenant General <M>Baron</M> Saken, Melissino participated in the battles of the Gornostaevichi and Vawkavysk.","Затем, в составе авангарда генерал-лейтенанта <M>барона Сакена</M>, Мелиссино участвовал в сражениях при Горностаевичах и Вавкавыске.",Baroness,баронессы Сакен,Baron,барона Сакена,11.70108069631451,15.351737301993508,Poor,Poor,Correct,Correct
2,"The second countess never returned to Spain; she died in the port of Cartagena, Colombia during the return voyage.","Вторая графиня так и не вернулась в Испанию; она умерла в порту Картахены, Колумбия, во время обратного рейса.","Вторая графиня так и не вернулась в Испанию; она умерла в порту Картахена, Колумбия, когда возвращалась обратно.","The second count never returned to Spain; he died in the port of Cartagena, Colombia during the return voyage.","Второй граф так и не вернулся в Испанию; он умер в порту Картахены, Колумбия, во время обратного рейса.","Второй граф так и не вернулся в Испанию; он умер в порту Картахена, Колумбия, когда возвращался обратно.","The second <F>countess</F> never returned to Spain; <F>she</F> died in the port of Cartagena, Colombia during the return voyage.","<F>Вторая графиня</F> так и не <F>вернулась</F> в Испанию; <F>она умерла</F> в порту Картахена, Колумбия, когда <F>возвращалась</F> обратно.","The second <M>count</M> never returned to Spain; <M>he</M> died in the port of Cartagena, Colombia during the return voyage.","<M>Второй граф</M> так и не <M>вернулся</M> в Испанию; <M>он умер</M> в порту Картахена, Колумбия, когда <M>возвращался</M> обратно.",countess;she,Вторая графиня;вернулась;она умерла;возвращалась,count;he,Второй граф;вернулся;он умер;возвращался,63.50869045864349,63.50869045864349,Excellent,Excellent,Correct,Correct
3,"As one of the most influential members of the council of finance, she had planned many reforms in that department.","Будучи одним из самых влиятельных членов финансового совета, она запланировала множество реформ в этом департаменте.","Будучи одной из самых влиятельных членов финансового совета, она спланировала множество реформ в этом департаменте.","As one of the most influential members of the council of finance, he had planned many reforms in that department.","Как один из самых влиятельных членов финансового совета, он запланировал множество реформ в этом департаменте.","Будучи одним из самых влиятельных членов финансового совета, он спланировал множество реформ в этом департаменте.","As one of the most influential members of the council of finance, <F>she</F> had planned many reforms in that department.","Будучи <F>одной</F> из самых влиятельных членов финансового совета, <F>она спланировала</F> множество реформ в этом департаменте.","As one of the most influential members of the council of finance, <M>he</M> had planned many reforms in that department.","Будучи <M>одним</M> из самых влиятельных членов финансового совета, <M>он спланировал</M> множество реформ в этом департаменте.",she,одной;она спланировала,he,одним;он спланировал,70.85876411943929,69.64705665515706,Excellent,Excellent,Incorrect,Correct
4,"Their form mistress is now Miss Jenks and they no longer have to bear the severeness of the first form mistress, Miss Roberts – who is extremely sarcastic and firm but can be kind when she feels like to, a bit like Mam'zelle, the French teacher that used to teach and is still teaching the girls.","Их классной руководителем теперь является мисс Дженкс, и им больше не приходится терпеть строгость первоклассной учительницы, мисс Робертс, которая чрезвычайно саркастична и тверда, но может быть доброй, когда ей хочется, что-то вроде Мамзель, француженки. учительница, которая учила и до сих пор учит девочек.","Их классной руководительницей теперь стала мисс Дженкс, и им больше не придется терпеть строгость первой классной руководительницы, мисс Робертс — чрезвычайно язвительной и строгой, но доброй, когда ей захочется, немного похожей на мамзель, учительницу французского языка, которая преподавала и продолжает преподавать девочкам.","Their form master is now Mister Jenks and they no longer have to bear the severeness of the first form master, Mister Roberts – who is extremely sarcastic and firm but can be kind when he feels like to, a bit like Monsieur, the French teacher that used to teach and is still teaching the boys.","Их классным руководителем теперь является мистер Дженкс, и им больше не приходится терпеть строгость первоклассного учителя, мистера Робертса, который чрезвычайно саркастичен и тверд, но может быть добрым, когда ему хочется, немного похоже на месье, учителя французского языка, который учил и до сих пор учит мальчиков.","Их классным руководителем теперь стал мистер Дженкс, и им больше не придется терпеть строгость первого классного руководителя, мистера Робертса — чрезвычайно язвительного и строгого, но доброго, когда ему захочется, немного похожего на монсеньора, учителя французского языка, который преподавал и продолжает преподавать мальчикам.","Their form <F>mistress</F> is now <F>Miss</F> Jenks and they no longer have to bear the severeness of the first form <F>mistress</F>, <F>Miss</F> Roberts – who is extremely sarcastic and firm but can be kind when <F>she</F> feels like to, a bit like <F>Mam'zelle</F>, the French teacher that used to teach and is still teaching the <F>girls</F>.","Их <F>классной руководительницей</F> теперь <F>стала мисс</F> <F>Дженкс</F>, и им больше не придется терпеть строгость <F>первой классной руководительницы, мисс</F> <F>Робертс</F> — чрезвычайно <F>язвительной</F> и <F>строгой</F>, но <F>доброй</F>, когда <F>ей</F> захочется, немного <F>похожей</F> на <F>мамзель</F>, <F>учительницу</F> французского языка, <F>которая преподавала</F> и продолжает преподавать <F>девочкам</F>.","Their form <M>master</M> is now <M>Mister</M> Jenks and they no longer have to bear the severeness of the first form <M>master</M>, <M>Mister</M> Roberts – who is extremely sarcastic and firm but can be kind when <M>he</M> feels like to, a bit like <M>Monsieur</M>, the French teacher that used to teach and is still teaching the <M>boys</M>.","Их <M>классным руководителем</M> теперь <M>стал мистер</M> <M>Дженкс</M>, и им больше не придется терпеть строгость <M>первого классного руководителя, мистера</M> <M>Робертса</M> — чрезвычайно <M>язвительного</M> и <M>строгого</M>, но <M>доброго</M>, когда <M>ему</M> захочется, немного <M>похожего</M> на <M>монсеньора</M>, <M>учителя</M> французского языка, <M>который преподавал</M> и продолжает преподавать <M>мальчикам</M>.",mistress;Miss;mistress;Miss;she;Mam'zelle;girls,"классной руководительницей;стала мисс;Дженкс;первой классной руководительницы, мисс;Робертс;язвительной;строгой;доброй;ей;похожей;мамзель;учительницу;которая преподавала;девочкам",master;Mister;master;Mister;he;Monsieur;boys,"классным руководителем;стал мистер;Дженкс;первого классного руководителя, мистера;Робертса;язвительного;строгого;доброго;ему;похожего;монсеньора;учителя;который преподавал;мальчикам",22.306552953519653,31.45010505438247,Fair,Good,Incorrect,Correct
5,"She believes that music and performing is all about competition and separates herself from the girls of R3, deciding to be a solo artist instead.","Она считает, что музыка и выступления - это конкуренция, и отделяется от девушек из R3, решив вместо этого стать сольной исполнительницей.","Она считает, что в музыке и выступлениях главное — конкуренция, и поэтому решила уйти от девушек из R3, и стать сольной исполнительницей.","He believes that music and performing is all about competition and separates himself from the boys of R3, deciding to be a solo artist instead.","Он считает, что музыка и выступления - это соревнование, и отделяет себя от ребят из R3, решив вместо этого стать сольным исполнителем.","Он считает, что в музыке и выступлениях главное — конкуренция, и поэтому решил уйти от парней из R3, и стать сольным исполнителем.","<F>She</F> believes that music and performing is all about competition and separates <F>herself</F> from the <F>girls</F> of R3, deciding to be a solo artist instead.","<F>Она</F> считает, что в музыке и выступлениях главное — конкуренция, и поэтому <F>решила</F> уйти от <F>девушек</F> из R3, и стать <F>сольной исполнительницей</F>.","<M>He</M> believes that music and performing is all about competition and separates <M>himself</M> from the <M>boys</M> of R3, deciding to be a solo artist instead.","<M>Он</M> считает, что в музыке и выступлениях главное — конкуренция, и поэтому <M>решил</M> уйти от <M>парней</M> из R3, и стать <M>сольным исполнителем</M>.",She;herself;girls,Она;решила;девушек;сольной исполнительницей,He;himself;boys,Он;решил;парней;сольным исполнителем,36.79152718115617,24.76682488899512,Good,Fair,Correct,Correct
6,"She works as a teacher now, but, apparently, as of Thief of Time, she still is duchess of Sto Helit.","Сейчас она работает учителем, но, судя по всему, по состоянию на «Вора времени» по-прежнему является герцогиней Сто Хелит.","В настоящее время она работает учительницей, но, по всей видимости, на момент «Вора времени» она все еще остается герцогиней Сто Хелит.","He works as a teacher now, but, apparently, as of Thief of Time, he still is duke of Sto Helit.","Сейчас он работает учителем, но, судя по всему, по состоянию на «Вора времени» он по-прежнему является герцогом Сто Хелита.","В настоящее время он работает учителем, но, по всей видимости, на момент «Вора времени» он все еще остается герцогом Сто Хелит.","<F>She</F> works as a teacher now, but, apparently, as of Thief of Time, <F>she</F> still is <F>duchess</F> of Sto Helit.","В настоящее время <F>она</F> работает <F>учительницей</F>, но, по всей видимости, на момент «Вора времени» <F>она</F> все еще остается <F>герцогиней</F> Сто Хелит.","<M>He</M> works as a teacher now, but, apparently, as of Thief of Time, <M>he</M> still is <M>duke</M> of Sto Helit.","В настоящее время <M>он</M> работает <M>учителем</M>, но, по всей видимости, на момент «Вора времени» <M>он</M> все еще остается <M>герцогом</M> Сто Хелит.",She;she;duchess,она;учительницей;она;герцогиней,He;he;duke,он;учителем;он;герцогом,18.24973033335324,28.64122358136574,Poor,Fair,Incorrect,Correct
7,"Dumouriez, who became a military adviser to the Confederates, at the time described her as spontaneous, more proud than ambitious, friend of the princess of Courland, enemy of the Potocki family, brave and honest as well as popular among other commanders.","Дюмурье, ставший военным советником конфедератов, в то время описывал ее как непосредственную, скорее гордую, чем амбициозную, подругу курляндской принцессы, врага семьи Потоцких, храбрую и честную, а также популярную среди других командиров.","Дюмурье, ставший военным советником конфедератов, в то время описал ее как спонтанную, скорее гордую, чем амбициозную, подругу принцессы Курляндии, врага семьи Потоцких, храбрую и честную, а также популярную среди других командиров.","Dumouriez, who became a military adviser to the Confederates, at the time described him as spontaneous, more proud than ambitious, friend of the prince of Courland, enemy of the Potocki family, brave and honest as well as popular among other commanders.","Дюмурье, ставший военным советником конфедератов, в то время описывал его как спонтанного, скорее гордого, чем амбициозного, друга курляндского принца, врага семьи Потоцких, храброго и честного, а также популярного среди других полководцев.","Дюмурье, ставший военным советником конфедератов, в то время описал его как спонтанного, скорее гордого, чем амбициозного, друга принца Курляндии, врага семьи Потоцких, храброго и честного, а также популярного среди других командиров.","Dumouriez, who became a military adviser to the Confederates, at the time described <F>her</F> as spontaneous, more proud than ambitious, friend of the <F>princess</F> of Courland, enemy of the Potocki family, brave and honest as well as popular among other commanders.","Дюмурье, ставший военным советником конфедератов, в то время описал <F>ее</F> как <F>спонтанную</F>, скорее <F>гордую</F>, чем <F>амбициозную, подругу принцессы</F> Курляндии, врага семьи Потоцких, <F>храбрую</F> и <F>честную</F>, а также <F>популярную</F> среди других командиров.","Dumouriez, who became a military adviser to the Confederates, at the time described <M>him</M> as spontaneous, more proud than ambitious, friend of the <M>prince</M> of Courland, enemy of the Potocki family, brave and honest as well as popular among other commanders.","Дюмурье, ставший военным советником конфедератов, в то время описал <M>его</M> как <M>спонтанного</M>, скорее <M>гордого</M>, чем <M>амбициозного, друга принца</M> Курляндии, врага семьи Потоцких, <M>храброго</M> и <M>честного</M>, а также <M>популярного</M> среди других командиров.",her;princess,"ее;спонтанную;гордую;амбициозную, подругу принцессы;храбрую;честную;популярную",him;prince,"его;спонтанного;гордого;амбициозного, друга принца;храброго;честного;популярного",78.40341071722939,79.87360427643019,Excellent,Excellent,Correct,Correct
8,"Rejecting her vapid debutante circle, she trains in martial arts and adopts the persona of a costumed detective.","Отвергнув свой банальный круг дебютанток, она занимается боевыми искусствами и принимает образ костюмированного детектива.","Отказавшись от своего скучного круга дебютанток, она берет уроки боевых искусств и принимает образ переодетого детектива.","Rejecting his vapid debutante circle, he trains in martial arts and adopts the persona of a costumed detective.","Отвергнув свой банальный круг дебютанток, он занимается боевыми искусствами и принимает образ костюмированного детектива.","Отказавшись от своего скучного круга дебютантов, он берет уроки боевых искусств и принимает образ переодетого детектива.","Rejecting <F>her</F> vapid debutante circle, <F>she</F> trains in martial arts and adopts the persona of a costumed detective.","Отказавшись от своего скучного круга <F>дебютанток</F>, <F>она</F> берет уроки боевых искусств и принимает образ переодетого детектива.","Rejecting <M>his</M> vapid debutante circle, <M>he</M> trains in martial arts and adopts the persona of a costumed detective.","Отказавшись от своего скучного круга <M>дебютантов</M>, <M>он</M> берет уроки боевых искусств и принимает образ переодетого детектива.",her;she,дебютанток;она,his;he,дебютантов;он,15.351737301993508,11.807950972448516,Poor,Poor,Correct,Incorrect
9,Entering the straight she was still six lengths clear of her rivals and showed no signs of weakening.,"Выйдя на прямую, она все еще отставала от своих соперниц на шесть длин и не подавала признаков ослабления.",На прямой она все еще опережала своих соперниц на шесть лошадей и не собиралась останавливаться.,Entering the straight he was still six lengths clear of his rivals and showed no signs of weakening.,"Выйдя на прямую, он все еще отставал от своих соперников на шесть длин и не показывал никаких признаков ослабления.",На прямой он все еще опережал своих соперников на шесть лошадей и не собирался останавливаться.,Entering the straight <F>she</F> was still six lengths clear of <F>her</F> rivals and showed no signs of weakening.,На прямой <F>она</F> все еще <F>опережала</F> своих <F>соперниц</F> на шесть лошадей и не <F>собиралась</F> останавливаться.,Entering the straight <M>he</M> was still six lengths clear of <M>his</M> rivals and showed no signs of weakening.,На прямой <M>он</M> все еще <M>опережал</M> своих <M>соперников</M> на шесть лошадей и не <M>собирался</M> останавливаться.,she;her,она;опережала;соперниц;собиралась,he;his,он;опережал;соперников;собирался,19.83544145418288,18.81478574691709,Poor,Poor,Correct,Correct
